,day,cumulative_infected,type,type_pretty,vaccine_efficacy,prevalence
0,1.0,0.0,Total infected,0%,Vaccine Efficacy 100%,Low
1,2.0,0.08820000000002892,Total infected,0%,Vaccine Efficacy 100%,Low
2,3.0,0.37880000000001246,Total infected,0%,Vaccine Efficacy 100%,Low
3,4.0,1.1521999999999935,Total infected,0%,Vaccine Efficacy 100%,Low
4,5.0,2.4890000000000327,Total infected,0%,Vaccine Efficacy 100%,Low
5,6.0,4.611300000000028,Total infected,0%,Vaccine Efficacy 100%,Low
6,7.0,6.138300000000072,Total infected,0%,Vaccine Efficacy 100%,Low
7,8.0,7.272600000000011,Total infected,0%,Vaccine Efficacy 100%,Low
8,9.0,9.376899999999978,Total infected,0%,Vaccine Efficacy 100%,Low
9,10.0,12.763500000000022,Total infected,0%,Vaccine Efficacy 100%,Low
10,11.0,17.026099999999985,Total infected,0%,Vaccine Efficacy 100%,Low
11,12.0,21.883700000000033,Total infected,0%,Vaccine Efficacy 100%,Low
12,13.0,27.62519999999995,Total infected,0%,Vaccine Efficacy 100%,Low
13,14.0,31.76559999999995,Total infected,0%,Vaccine Efficacy 100%,Low
14,15.0,34.74350000000001,Total infected,0%,Vaccine Efficacy 100%,Low
15,16.0,39.04219999999998,Total infected,0%,Vaccine Efficacy 100%,Low
16,17.0,44.50910000000002,Total infected,0%,Vaccine Efficacy 100%,Low
17,18.0,50.4289,Total infected,0%,Vaccine Efficacy 100%,Low
18,19.0,56.35480000000001,Total infected,0%,Vaccine Efficacy 100%,Low
19,20.0,63.078100000000006,Total infected,0%,Vaccine Efficacy 100%,Low
20,21.0,67.82570000000001,Total infected,0%,Vaccine Efficacy 100%,Low
21,22.0,71.26060000000001,Total infected,0%,Vaccine Efficacy 100%,Low
22,23.0,75.78539999999995,Total infected,0%,Vaccine Efficacy 100%,Low
23,24.0,81.3066,Total infected,0%,Vaccine Efficacy 100%,Low
24,25.0,87.0341,Total infected,0%,Vaccine Efficacy 100%,Low
25,26.0,93.0001,Total infected,0%,Vaccine Efficacy 100%,Low
26,27.0,98.99600000000001,Total infected,0%,Vaccine Efficacy 100%,Low
27,28.0,103.15019999999998,Total infected,0%,Vaccine Efficacy 100%,Low
28,29.0,106.1043,Total infected,0%,Vaccine Efficacy 100%,Low
29,30.0,109.79759999999999,Total infected,0%,Vaccine Efficacy 100%,Low
30,31.0,114.1703,Total infected,0%,Vaccine Efficacy 100%,Low
31,32.0,118.51499999999999,Total infected,0%,Vaccine Efficacy 100%,Low
32,33.0,122.6934,Total infected,0%,Vaccine Efficacy 100%,Low
33,34.0,126.92590000000001,Total infected,0%,Vaccine Efficacy 100%,Low
34,35.0,130.20430000000002,Total infected,0%,Vaccine Efficacy 100%,Low
35,36.0,132.3988,Total infected,0%,Vaccine Efficacy 100%,Low
36,37.0,134.94579999999996,Total infected,0%,Vaccine Efficacy 100%,Low
37,38.0,137.8917,Total infected,0%,Vaccine Efficacy 100%,Low
38,39.0,140.87369999999999,Total infected,0%,Vaccine Efficacy 100%,Low
39,40.0,143.96589999999998,Total infected,0%,Vaccine Efficacy 100%,Low
40,41.0,147.13219999999998,Total infected,0%,Vaccine Efficacy 100%,Low
41,42.0,149.2806,Total infected,0%,Vaccine Efficacy 100%,Low
42,43.0,150.8197,Total infected,0%,Vaccine Efficacy 100%,Low
43,44.0,152.8417,Total infected,0%,Vaccine Efficacy 100%,Low
44,45.0,155.0822,Total infected,0%,Vaccine Efficacy 100%,Low
45,46.0,157.54319999999998,Total infected,0%,Vaccine Efficacy 100%,Low
46,47.0,159.83159999999998,Total infected,0%,Vaccine Efficacy 100%,Low
47,48.0,162.10219999999998,Total infected,0%,Vaccine Efficacy 100%,Low
48,49.0,163.6673,Total infected,0%,Vaccine Efficacy 100%,Low
49,50.0,164.75349999999997,Total infected,0%,Vaccine Efficacy 100%,Low
50,51.0,166.1783,Total infected,0%,Vaccine Efficacy 100%,Low
51,52.0,167.8277,Total infected,0%,Vaccine Efficacy 100%,Low
52,53.0,169.4971,Total infected,0%,Vaccine Efficacy 100%,Low
53,54.0,171.10829999999999,Total infected,0%,Vaccine Efficacy 100%,Low
54,55.0,172.7335,Total infected,0%,Vaccine Efficacy 100%,Low
55,56.0,173.89570000000003,Total infected,0%,Vaccine Efficacy 100%,Low
56,57.0,174.7354,Total infected,0%,Vaccine Efficacy 100%,Low
57,58.0,175.70340000000002,Total infected,0%,Vaccine Efficacy 100%,Low
58,59.0,176.99,Total infected,0%,Vaccine Efficacy 100%,Low
59,60.0,178.3547,Total infected,0%,Vaccine Efficacy 100%,Low
60,1.0,0.0,Total infected,10%,Vaccine Efficacy 100%,Low
61,2.0,0.07209999999997763,Total infected,10%,Vaccine Efficacy 100%,Low
62,3.0,0.2866000000000213,Total infected,10%,Vaccine Efficacy 100%,Low
63,4.0,0.809599999999989,Total infected,10%,Vaccine Efficacy 100%,Low
64,5.0,1.6654000000000337,Total infected,10%,Vaccine Efficacy 100%,Low
65,6.0,2.97199999999998,Total infected,10%,Vaccine Efficacy 100%,Low
66,7.0,4.000099999999975,Total infected,10%,Vaccine Efficacy 100%,Low
67,8.0,4.83159999999998,Total infected,10%,Vaccine Efficacy 100%,Low
68,9.0,6.420799999999986,Total infected,10%,Vaccine Efficacy 100%,Low
69,10.0,8.980000000000018,Total infected,10%,Vaccine Efficacy 100%,Low
70,11.0,12.192499999999995,Total infected,10%,Vaccine Efficacy 100%,Low
71,12.0,15.887699999999995,Total infected,10%,Vaccine Efficacy 100%,Low
72,13.0,20.45879999999994,Total infected,10%,Vaccine Efficacy 100%,Low
73,14.0,23.725499999999954,Total infected,10%,Vaccine Efficacy 100%,Low
