,day,cumulative_infected,type,type_pretty,vaccine_efficacy,prevalence
0,1.0,0.0,Total infected,0%,Vaccine Efficacy 100%,Low
1,2.0,0.07810000000000628,Total infected,0%,Vaccine Efficacy 100%,Low
2,3.0,0.23239999999998417,Total infected,0%,Vaccine Efficacy 100%,Low
3,4.0,0.5271000000000186,Total infected,0%,Vaccine Efficacy 100%,Low
4,5.0,1.0260999999999854,Total infected,0%,Vaccine Efficacy 100%,Low
5,6.0,1.7173999999999978,Total infected,0%,Vaccine Efficacy 100%,Low
6,7.0,2.288499999999999,Total infected,0%,Vaccine Efficacy 100%,Low
7,8.0,2.8115999999999985,Total infected,0%,Vaccine Efficacy 100%,Low
8,9.0,3.8297000000000025,Total infected,0%,Vaccine Efficacy 100%,Low
9,10.0,5.280599999999993,Total infected,0%,Vaccine Efficacy 100%,Low
10,11.0,7.208499999999958,Total infected,0%,Vaccine Efficacy 100%,Low
11,12.0,9.6173,Total infected,0%,Vaccine Efficacy 100%,Low
12,13.0,12.62130000000002,Total infected,0%,Vaccine Efficacy 100%,Low
13,14.0,14.811699999999973,Total infected,0%,Vaccine Efficacy 100%,Low
14,15.0,16.394800000000032,Total infected,0%,Vaccine Efficacy 100%,Low
15,16.0,18.765499999999975,Total infected,0%,Vaccine Efficacy 100%,Low
16,17.0,21.669399999999996,Total infected,0%,Vaccine Efficacy 100%,Low
17,18.0,25.23249999999996,Total infected,0%,Vaccine Efficacy 100%,Low
18,19.0,29.288700000000006,Total infected,0%,Vaccine Efficacy 100%,Low
19,20.0,33.74350000000004,Total infected,0%,Vaccine Efficacy 100%,Low
20,21.0,37.0,Total infected,0%,Vaccine Efficacy 100%,Low
21,22.0,39.40090000000001,Total infected,0%,Vaccine Efficacy 100%,Low
22,23.0,42.739499999999964,Total infected,0%,Vaccine Efficacy 100%,Low
23,24.0,46.5993,Total infected,0%,Vaccine Efficacy 100%,Low
24,25.0,50.93779999999995,Total infected,0%,Vaccine Efficacy 100%,Low
