,day,cumulative_infected,type,type_pretty,vaccine_efficacy,prevalence
0,1.0,0.0,Total infected,0%,Vaccine Efficacy 100%,Low
1,2.0,0.07819999999998117,Total infected,0%,Vaccine Efficacy 100%,Low
2,3.0,0.3606999999999516,Total infected,0%,Vaccine Efficacy 100%,Low
3,4.0,1.0640999999999963,Total infected,0%,Vaccine Efficacy 100%,Low
4,5.0,2.3987999999999943,Total infected,0%,Vaccine Efficacy 100%,Low
5,6.0,4.4909999999999854,Total infected,0%,Vaccine Efficacy 100%,Low
6,7.0,6.090100000000007,Total infected,0%,Vaccine Efficacy 100%,Low
7,8.0,7.2864999999999895,Total infected,0%,Vaccine Efficacy 100%,Low
8,9.0,10.759500000000003,Total infected,0%,Vaccine Efficacy 100%,Low
9,10.0,15.857700000000023,Total infected,0%,Vaccine Efficacy 100%,Low
10,11.0,22.603200000000015,Total infected,0%,Vaccine Efficacy 100%,Low
11,12.0,30.869799999999998,Total infected,0%,Vaccine Efficacy 100%,Low
12,13.0,40.73140000000001,Total infected,0%,Vaccine Efficacy 100%,Low
13,14.0,47.871699999999976,Total infected,0%,Vaccine Efficacy 100%,Low
14,15.0,53.05409999999998,Total infected,0%,Vaccine Efficacy 100%,Low
15,16.0,63.128300000000024,Total infected,0%,Vaccine Efficacy 100%,Low
16,17.0,75.59719999999999,Total infected,0%,Vaccine Efficacy 100%,Low
17,18.0,88.96190000000001,Total infected,0%,Vaccine Efficacy 100%,Low
18,19.0,103.0581,Total infected,0%,Vaccine Efficacy 100%,Low
19,20.0,117.69740000000002,Total infected,0%,Vaccine Efficacy 100%,Low
20,21.0,128.0581,Total infected,0%,Vaccine Efficacy 100%,Low
21,22.0,135.4489,Total infected,0%,Vaccine Efficacy 100%,Low
22,23.0,146.7655,Total infected,0%,Vaccine Efficacy 100%,Low
23,24.0,158.5231,Total infected,0%,Vaccine Efficacy 100%,Low
24,25.0,169.8016,Total infected,0%,Vaccine Efficacy 100%,Low
25,26.0,180.10219999999998,Total infected,0%,Vaccine Efficacy 100%,Low
26,27.0,189.7635,Total infected,0%,Vaccine Efficacy 100%,Low
27,28.0,196.5692,Total infected,0%,Vaccine Efficacy 100%,Low
28,29.0,201.477,Total infected,0%,Vaccine Efficacy 100%,Low
29,30.0,207.3868,Total infected,0%,Vaccine Efficacy 100%,Low
30,31.0,212.84969999999998,Total infected,0%,Vaccine Efficacy 100%,Low
31,32.0,217.6233,Total infected,0%,Vaccine Efficacy 100%,Low
32,33.0,221.4869,Total infected,0%,Vaccine Efficacy 100%,Low
33,34.0,224.8657,Total infected,0%,Vaccine Efficacy 100%,Low
34,35.0,227.2986,Total infected,0%,Vaccine Efficacy 100%,Low
35,36.0,229.016,Total infected,0%,Vaccine Efficacy 100%,Low
36,37.0,230.7776,Total infected,0%,Vaccine Efficacy 100%,Low
37,38.0,232.24450000000002,Total infected,0%,Vaccine Efficacy 100%,Low
38,39.0,233.5331,Total infected,0%,Vaccine Efficacy 100%,Low
39,40.0,234.5611,Total infected,0%,Vaccine Efficacy 100%,Low
40,41.0,235.3988,Total infected,0%,Vaccine Efficacy 100%,Low
41,42.0,235.998,Total infected,0%,Vaccine Efficacy 100%,Low
42,43.0,236.50900000000001,Total infected,0%,Vaccine Efficacy 100%,Low
43,44.0,237.002,Total infected,0%,Vaccine Efficacy 100%,Low
44,45.0,237.501,Total infected,0%,Vaccine Efficacy 100%,Low
45,46.0,237.9018,Total infected,0%,Vaccine Efficacy 100%,Low
46,47.0,238.2425,Total infected,0%,Vaccine Efficacy 100%,Low
47,48.0,238.5451,Total infected,0%,Vaccine Efficacy 100%,Low
48,49.0,238.7656,Total infected,0%,Vaccine Efficacy 100%,Low
49,50.0,238.9519,Total infected,0%,Vaccine Efficacy 100%,Low
50,51.0,239.1182,Total infected,0%,Vaccine Efficacy 100%,Low
51,52.0,239.3086,Total infected,0%,Vaccine Efficacy 100%,Low
52,53.0,239.465,Total infected,0%,Vaccine Efficacy 100%,Low
53,54.0,239.5952,Total infected,0%,Vaccine Efficacy 100%,Low
54,55.0,239.6654,Total infected,0%,Vaccine Efficacy 100%,Low
55,56.0,239.7275,Total infected,0%,Vaccine Efficacy 100%,Low
56,57.0,239.7896,Total infected,0%,Vaccine Efficacy 100%,Low
57,58.0,239.8537,Total infected,0%,Vaccine Efficacy 100%,Low
58,59.0,239.8918,Total infected,0%,Vaccine Efficacy 100%,Low
59,60.0,239.9178,Total infected,0%,Vaccine Efficacy 100%,Low
60,1.0,0.0,Total infected,10%,Vaccine Efficacy 100%,Low
61,2.0,0.07619999999997162,Total infected,10%,Vaccine Efficacy 100%,Low
62,3.0,0.3646999999999707,Total infected,10%,Vaccine Efficacy 100%,Low
63,4.0,1.009999999999991,Total infected,10%,Vaccine Efficacy 100%,Low
64,5.0,2.0962000000000103,Total infected,10%,Vaccine Efficacy 100%,Low
65,6.0,3.990000000000009,Total infected,10%,Vaccine Efficacy 100%,Low
66,7.0,5.35469999999998,Total infected,10%,Vaccine Efficacy 100%,Low
67,8.0,6.300599999999974,Total infected,10%,Vaccine Efficacy 100%,Low
68,9.0,9.009999999999991,Total infected,10%,Vaccine Efficacy 100%,Low
69,10.0,13.500999999999976,Total infected,10%,Vaccine Efficacy 100%,Low
70,11.0,18.92579999999998,Total infected,10%,Vaccine Efficacy 100%,Low
71,12.0,25.589200000000005,Total infected,10%,Vaccine Efficacy 100%,Low
72,13.0,33.84770000000003,Total infected,10%,Vaccine Efficacy 100%,Low
73,14.0,39.77159999999998,Total infected,10%,Vaccine Efficacy 100%,Low
74,15.0,44.1062,Total infected,10%,Vaccine Efficacy 100%,Low
75,16.0,52.400800000000004,Total infected,10%,Vaccine Efficacy 100%,Low
76,17.0,63.00200000000001,Total infected,10%,Vaccine Efficacy 100%,Low
77,18.0,74.70940000000002,Total infected,10%,Vaccine Efficacy 100%,Low
78,19.0,87.34870000000001,Total infected,10%,Vaccine Efficacy 100%,Low
79,20.0,100.73150000000001,Total infected,10%,Vaccine Efficacy 100%,Low
80,21.0,110.10820000000001,Total infected,10%,Vaccine Efficacy 100%,Low
81,22.0,117.0181,Total infected,10%,Vaccine Efficacy 100%,Low
82,23.0,127.45690000000002,Total infected,10%,Vaccine Efficacy 100%,Low
83,24.0,138.42680000000001,Total infected,10%,Vaccine Efficacy 100%,Low
84,25.0,148.7615,Total infected,10%,Vaccine Efficacy 100%,Low
85,26.0,158.68529999999998,Total infected,10%,Vaccine Efficacy 100%,Low
86,27.0,167.88580000000002,Total infected,10%,Vaccine Efficacy 100%,Low
87,28.0,174.4368,Total infected,10%,Vaccine Efficacy 100%,Low
88,29.0,179.01,Total infected,10%,Vaccine Efficacy 100%,Low
89,30.0,184.7395,Total infected,10%,Vaccine Efficacy 100%,Low
90,31.0,190.0301,Total infected,10%,Vaccine Efficacy 100%,Low
91,32.0,194.60930000000002,Total infected,10%,Vaccine Efficacy 100%,Low
92,33.0,198.5651,Total infected,10%,Vaccine Efficacy 100%,Low
93,34.0,201.9058,Total infected,10%,Vaccine Efficacy 100%,Low
94,35.0,204.2725,Total infected,10%,Vaccine Efficacy 100%,Low
95,36.0,205.8878,Total infected,10%,Vaccine Efficacy 100%,Low
96,37.0,207.499,Total infected,10%,Vaccine Efficacy 100%,Low
97,38.0,208.98000000000002,Total infected,10%,Vaccine Efficacy 100%,Low
98,39.0,210.19639999999998,Total infected,10%,Vaccine Efficacy 100%,Low
99,40.0,211.2966,Total infected,10%,Vaccine Efficacy 100%,Low
100,41.0,212.2144,Total infected,10%,Vaccine Efficacy 100%,Low
101,42.0,212.8717,Total infected,10%,Vaccine Efficacy 100%,Low
102,43.0,213.3467,Total infected,10%,Vaccine Efficacy 100%,Low
103,44.0,213.79559999999998,Total infected,10%,Vaccine Efficacy 100%,Low
104,45.0,214.1643,Total infected,10%,Vaccine Efficacy 100%,Low
105,46.0,214.4509,Total infected,10%,Vaccine Efficacy 100%,Low
106,47.0,214.72140000000002,Total infected,10%,Vaccine Efficacy 100%,Low
107,48.0,214.9479,Total infected,10%,Vaccine Efficacy 100%,Low
108,49.0,215.0701,Total infected,10%,Vaccine Efficacy 100%,Low
109,50.0,215.1543,Total infected,10%,Vaccine Efficacy 100%,Low
110,51.0,215.2485,Total infected,10%,Vaccine Efficacy 100%,Low
111,52.0,215.3487,Total infected,10%,Vaccine Efficacy 100%,Low
112,53.0,215.4108,Total infected,10%,Vaccine Efficacy 100%,Low
113,54.0,215.4589,Total infected,10%,Vaccine Efficacy 100%,Low
114,55.0,215.515,Total infected,10%,Vaccine Efficacy 100%,Low
115,56.0,215.5571,Total infected,10%,Vaccine Efficacy 100%,Low
116,57.0,215.57909999999998,Total infected,10%,Vaccine Efficacy 100%,Low
117,58.0,215.6173,Total infected,10%,Vaccine Efficacy 100%,Low
118,59.0,215.6653,Total infected,10%,Vaccine Efficacy 100%,Low
119,60.0,215.69740000000002,Total infected,10%,Vaccine Efficacy 100%,Low
120,1.0,0.0,Total infected,40%,Vaccine Efficacy 100%,Low
121,2.0,0.04809999999997672,Total infected,40%,Vaccine Efficacy 100%,Low
122,3.0,0.18029999999998836,Total infected,40%,Vaccine Efficacy 100%,Low
123,4.0,0.4268999999999892,Total infected,40%,Vaccine Efficacy 100%,Low
124,5.0,0.8396999999999935,Total infected,40%,Vaccine Efficacy 100%,Low
125,6.0,1.4950000000000045,Total infected,40%,Vaccine Efficacy 100%,Low
126,7.0,2.070100000000025,Total infected,40%,Vaccine Efficacy 100%,Low
127,8.0,2.4828999999999724,Total infected,40%,Vaccine Efficacy 100%,Low
128,9.0,3.5330999999999904,Total infected,40%,Vaccine Efficacy 100%,Low
129,10.0,5.1281999999999925,Total infected,40%,Vaccine Efficacy 100%,Low
130,11.0,7.018000000000029,Total infected,40%,Vaccine Efficacy 100%,Low
131,12.0,9.124300000000005,Total infected,40%,Vaccine Efficacy 100%,Low
132,13.0,11.607200000000034,Total infected,40%,Vaccine Efficacy 100%,Low
133,14.0,13.388800000000003,Total infected,40%,Vaccine Efficacy 100%,Low
134,15.0,14.783599999999979,Total infected,40%,Vaccine Efficacy 100%,Low
135,16.0,17.475000000000023,Total infected,40%,Vaccine Efficacy 100%,Low
136,17.0,20.961900000000014,Total infected,40%,Vaccine Efficacy 100%,Low
137,18.0,24.763599999999997,Total infected,40%,Vaccine Efficacy 100%,Low
138,19.0,28.989900000000034,Total infected,40%,Vaccine Efficacy 100%,Low
139,20.0,33.5231,Total infected,40%,Vaccine Efficacy 100%,Low
140,21.0,36.8477,Total infected,40%,Vaccine Efficacy 100%,Low
141,22.0,39.2525,Total infected,40%,Vaccine Efficacy 100%,Low
142,23.0,43.30860000000001,Total infected,40%,Vaccine Efficacy 100%,Low
143,24.0,48.056100000000015,Total infected,40%,Vaccine Efficacy 100%,Low
