,day,cumulative_infected,left,right,type_pretty,efficacy,policy
0,1.0,0.0,0.0019089655172412426,-0.0019089655172414386,0%,Vaccine Efficacy 100%,D1
1,2.0,0.010925172413793257,0.015185172413792958,0.006665517241379286,0%,Vaccine Efficacy 100%,D1
2,3.0,0.033908965517241346,0.040687586206896525,0.027131034482758602,0%,Vaccine Efficacy 100%,D1
3,4.0,0.07406586206896558,0.08417068965517234,0.06396000000000006,0%,Vaccine Efficacy 100%,D1
4,5.0,0.13303862068965516,0.14512655172413796,0.12095068965517246,0%,Vaccine Efficacy 100%,D1
5,6.0,0.21037931034482754,0.22286413793103443,0.19789448275862068,0%,Vaccine Efficacy 100%,D1
6,7.0,0.2693386206896551,0.28227931034482756,0.256398275862069,0%,Vaccine Efficacy 100%,D1
7,8.0,0.3179534482758621,0.3331955172413794,0.30271068965517245,0%,Vaccine Efficacy 100%,D1
8,9.0,0.3621937931034482,0.3765324137931034,0.3478541379310345,0%,Vaccine Efficacy 100%,D1
9,10.0,0.4020662068965517,0.4155868965517241,0.3885455172413793,0%,Vaccine Efficacy 100%,D1
10,11.0,0.4366868965517241,0.449331724137931,0.42404275862068963,0%,Vaccine Efficacy 100%,D1
11,12.0,0.4652824137931034,0.47685517241379316,0.45370965517241385,0%,Vaccine Efficacy 100%,D1
12,13.0,0.4892131034482758,0.4995658620689655,0.47885999999999995,0%,Vaccine Efficacy 100%,D1
13,14.0,0.5064541379310344,0.5158851724137931,0.4970237931034482,0%,Vaccine Efficacy 100%,D1
14,15.0,0.5195220689655172,0.5270741379310345,0.5119699999999999,0%,Vaccine Efficacy 100%,D1
15,16.0,0.5288441379310345,0.5364437931034483,0.5212444827586207,0%,Vaccine Efficacy 100%,D1
16,17.0,0.5354710344827587,0.5430944827586207,0.5278472413793104,0%,Vaccine Efficacy 100%,D1
17,18.0,0.5399627586206897,0.5482465517241378,0.5316786206896552,0%,Vaccine Efficacy 100%,D1
18,19.0,0.5436806896551724,0.5523386206896551,0.5350224137931034,0%,Vaccine Efficacy 100%,D1
19,20.0,0.5466103448275862,0.55569,0.5375310344827586,0%,Vaccine Efficacy 100%,D1
20,21.0,0.5490293103448276,0.5583775862068965,0.53968,0%,Vaccine Efficacy 100%,D1
21,22.0,0.551101724137931,0.5595310344827585,0.5426741379310345,0%,Vaccine Efficacy 100%,D1
22,23.0,0.55614,0.5642041379310344,0.5480755172413794,0%,Vaccine Efficacy 100%,D1
23,24.0,0.5637413793103448,0.5713993103448275,0.556083448275862,0%,Vaccine Efficacy 100%,D1
24,25.0,0.5742796551724137,0.5817924137931034,0.5667672413793103,0%,Vaccine Efficacy 100%,D1
25,26.0,0.5877893103448277,0.5953175862068966,0.5802613793103448,0%,Vaccine Efficacy 100%,D1
26,27.0,0.6033379310344827,0.610608275862069,0.5960675862068966,0%,Vaccine Efficacy 100%,D1
27,28.0,0.6167920689655172,0.6237424137931035,0.6098427586206896,0%,Vaccine Efficacy 100%,D1
28,29.0,0.6284155172413793,0.636198275862069,0.6206334482758621,0%,Vaccine Efficacy 100%,D1
29,30.0,0.6422775862068966,0.6497431034482759,0.6348120689655172,0%,Vaccine Efficacy 100%,D1
30,31.0,0.6554972413793103,0.6628079310344828,0.6481865517241379,0%,Vaccine Efficacy 100%,D1
31,32.0,0.6684127586206896,0.6754558620689656,0.6613693103448276,0%,Vaccine Efficacy 100%,D1
32,33.0,0.6817568965517241,0.6884813793103449,0.6750320689655173,0%,Vaccine Efficacy 100%,D1
33,34.0,0.6946168965517241,0.7010851724137932,0.688148275862069,0%,Vaccine Efficacy 100%,D1
34,35.0,0.7042431034482759,0.7102927586206896,0.698193448275862,0%,Vaccine Efficacy 100%,D1
