,day,final_infected,type_pretty
60,60,214,0%
121,60,238,0%
182,60,221,0%
243,60,233,0%
304,60,232,0%
365,60,227,0%
426,60,220,0%
487,60,220,0%
548,60,226,0%
609,60,225,0%
670,60,229,0%
731,60,222,0%
792,60,231,0%
853,60,223,0%
914,60,223,0%
975,60,231,0%
1036,60,213,0%
1097,60,235,0%
1158,60,220,0%
1219,60,210,0%
1280,60,220,0%
1341,60,224,0%
1402,60,231,0%
1463,60,216,0%
1524,60,232,0%
1585,60,198,0%
1646,60,220,0%
1707,60,221,0%
1768,60,226,0%
1829,60,215,0%
1890,60,235,0%
1951,60,229,0%
2012,60,221,0%
2073,60,239,0%
2134,60,232,0%
2195,60,207,0%
2256,60,211,0%
2317,60,237,0%
2378,60,217,0%
2439,60,225,0%
2500,60,227,0%
2561,60,238,0%
2622,60,217,0%
2683,60,232,0%
2744,60,204,0%
2805,60,231,0%
2866,60,234,0%
2927,60,216,0%
2988,60,216,0%
3049,60,208,0%
3110,60,191,0%
3171,60,231,0%
3232,60,212,0%
3293,60,226,0%
3354,60,213,0%
3415,60,229,0%
3476,60,231,0%
3537,60,233,0%
3598,60,213,0%
3659,60,221,0%
3720,60,232,0%
3781,60,210,0%
3842,60,220,0%
3903,60,220,0%
3964,60,218,0%
4025,60,209,0%
4086,60,235,0%
4147,60,222,0%
4208,60,235,0%
4269,60,209,0%
4330,60,214,0%
4391,60,189,0%
4452,60,227,0%
4513,60,205,0%
4574,60,229,0%
4635,60,213,0%
4696,60,228,0%
4757,60,236,0%
4818,60,217,0%
4879,60,214,0%
4940,60,230,0%
5001,60,228,0%
5062,60,230,0%
5123,60,228,0%
5184,60,211,0%
5245,60,204,0%
5306,60,204,0%
5367,60,194,0%
5428,60,195,0%
5489,60,230,0%
5550,60,226,0%
5611,60,227,0%
5672,60,224,0%
5733,60,205,0%
5794,60,228,0%
5855,60,230,0%
5916,60,212,0%
5977,60,212,0%
6038,60,231,0%
6099,60,209,0%
6160,60,179,10%
6221,60,213,10%
6282,60,117,10%
6343,60,205,10%
6404,60,213,10%
6465,60,190,10%
6526,60,193,10%
6587,60,209,10%
6648,60,194,10%
6709,60,200,10%
6770,60,206,10%
6831,60,208,10%
6892,60,213,10%
6953,60,187,10%
7014,60,189,10%
7075,60,202,10%
7136,60,202,10%
7197,60,186,10%
7258,60,198,10%
7319,60,212,10%
7380,60,188,10%
7441,60,210,10%
7502,60,134,10%
7563,60,197,10%
7624,60,166,10%
7685,60,169,10%
7746,60,205,10%
7807,60,205,10%
7868,60,197,10%
7929,60,185,10%
7990,60,179,10%
8051,60,206,10%
8112,60,209,10%
8173,60,191,10%
8234,60,189,10%
8295,60,162,10%
8356,60,181,10%
8417,60,199,10%
8478,60,215,10%
8539,60,206,10%
8600,60,200,10%
8661,60,186,10%
8722,60,210,10%
8783,60,205,10%
8844,60,191,10%
8905,60,206,10%
8966,60,200,10%
9027,60,197,10%
9088,60,202,10%
9149,60,209,10%
9210,60,209,10%
9271,60,203,10%
9332,60,200,10%
9393,60,210,10%
9454,60,204,10%
9515,60,192,10%
9576,60,198,10%
9637,60,163,10%
9698,60,201,10%
9759,60,197,10%
9820,60,212,10%
9881,60,215,10%
9942,60,210,10%
10003,60,205,10%
10064,60,203,10%
10125,60,200,10%
10186,60,195,10%
10247,60,213,10%
10308,60,204,10%
10369,60,206,10%
10430,60,201,10%
10491,60,162,10%
10552,60,198,10%
10613,60,197,10%
10674,60,184,10%
10735,60,199,10%
10796,60,189,10%
10857,60,213,10%
10918,60,194,10%
10979,60,207,10%
11040,60,205,10%
11101,60,204,10%
11162,60,211,10%
11223,60,196,10%
11284,60,207,10%
11345,60,209,10%
11406,60,197,10%
11467,60,205,10%
11528,60,200,10%
11589,60,200,10%
11650,60,205,10%
11711,60,201,10%
11772,60,199,10%
11833,60,206,10%
11894,60,189,10%
11955,60,205,10%
12016,60,176,10%
12077,60,179,10%
12138,60,194,10%
12199,60,211,10%
12260,60,143,40%
12321,60,127,40%
12382,60,123,40%
12443,60,110,40%
12504,60,118,40%
12565,60,125,40%
12626,60,100,40%
12687,60,99,40%
12748,60,137,40%
12809,60,139,40%
