,trace,day,type
649,649,16,School screening
650,650,2,School screening
651,651,9,School screening
652,652,2,School screening
653,653,0,-
654,654,2,School screening
655,655,9,School screening
656,656,2,School screening
657,657,9,School screening
658,658,2,School screening
659,659,0,-
660,660,9,School screening
661,661,23,School screening
662,662,16,School screening
663,663,16,School screening
664,664,9,School screening
665,665,9,School screening
666,666,23,School screening
667,667,2,School screening
668,668,2,School screening
669,669,2,School screening
670,670,2,School screening
671,671,9,School screening
672,672,2,School screening
673,673,16,School screening
674,674,23,School screening
675,675,0,-
676,676,2,School screening
677,677,30,School screening
678,678,16,School screening
679,679,2,School screening
680,680,9,School screening
681,681,16,School screening
682,682,9,School screening
683,683,0,-
684,684,2,School screening
685,685,9,School screening
686,686,23,School screening
687,687,16,School screening
688,688,9,School screening
689,689,16,School screening
690,690,0,-
691,691,23,School screening
692,692,9,School screening
693,693,0,-
694,694,9,School screening
695,695,0,-
696,696,9,School screening
697,697,9,School screening
698,698,2,School screening
699,699,16,School screening
700,700,2,School screening
701,701,16,School screening
702,702,2,School screening
703,703,9,School screening
704,704,9,School screening
705,705,16,School screening
706,706,9,School screening
707,707,0,-
708,708,16,School screening
709,709,2,School screening
710,710,9,School screening
711,711,9,School screening
712,712,2,School screening
713,713,2,School screening
714,714,9,School screening
715,715,0,-
716,716,9,School screening
717,717,23,School screening
718,718,9,School screening
719,719,16,School screening
720,720,2,School screening
721,721,0,-
722,722,0,-
723,723,2,School screening
724,724,2,School screening
725,725,16,School screening
726,726,9,School screening
727,727,9,School screening
728,728,2,School screening
729,729,2,School screening
730,730,16,School screening
731,731,2,School screening
732,732,9,School screening
733,733,2,School screening
734,734,16,School screening
735,735,2,School screening
736,736,16,School screening
737,737,9,School screening
738,738,23,School screening
739,739,2,School screening
740,740,9,School screening
741,741,2,School screening
742,742,0,-
743,743,9,School screening
744,744,2,School screening
745,745,16,School screening
746,746,16,School screening
747,747,9,School screening
748,748,0,-
749,749,9,School screening
750,750,9,School screening
751,751,2,School screening
752,752,9,School screening
753,753,9,School screening
754,754,23,School screening
755,755,9,School screening
756,756,0,-
757,757,9,School screening
758,758,2,School screening
759,759,2,School screening
760,760,2,School screening
761,761,2,School screening
762,762,2,School screening
763,763,30,School screening
764,764,9,School screening
765,765,23,School screening
766,766,16,School screening
767,767,9,School screening
768,768,9,School screening
769,769,16,School screening
770,770,16,School screening
771,771,2,School screening
772,772,0,-
773,773,16,School screening
774,774,30,School screening
775,775,9,School screening
776,776,2,School screening
777,777,2,School screening
778,778,9,School screening
779,779,2,School screening
780,780,23,School screening
781,781,9,School screening
782,782,0,-
783,783,16,School screening
784,784,0,-
785,785,0,-
786,786,9,School screening
787,787,9,School screening
788,788,30,School screening
789,789,0,-
790,790,2,School screening
791,791,16,School screening
792,792,16,School screening
793,793,9,School screening
794,794,16,School screening
795,795,9,School screening
796,796,9,School screening
797,797,2,School screening
798,798,2,School screening
799,799,0,-
800,800,16,School screening
801,801,0,-
802,802,2,School screening
803,803,2,School screening
804,804,9,School screening
805,805,16,School screening
806,806,9,School screening
807,807,16,School screening
808,808,2,School screening
809,809,0,-
810,810,2,School screening
811,811,9,School screening
812,812,2,School screening
813,813,9,School screening
814,814,2,School screening
815,815,0,-
816,816,2,School screening
817,817,16,School screening
818,818,2,School screening
819,819,9,School screening
820,820,9,School screening
821,821,0,-
822,822,2,School screening
823,823,9,School screening
824,824,2,School screening
825,825,23,School screening
826,826,16,School screening
827,827,2,School screening
828,828,9,School screening
829,829,16,School screening
830,830,0,-
831,831,2,School screening
832,832,9,School screening
833,833,2,School screening
834,834,16,School screening
835,835,16,School screening
836,836,9,School screening
837,837,9,School screening
838,838,23,School screening
839,839,2,School screening
840,840,2,School screening
841,841,2,School screening
842,842,2,School screening
843,843,9,School screening
844,844,2,School screening
845,845,9,School screening
846,846,16,School screening
847,847,16,School screening
848,848,9,School screening
849,849,9,School screening
850,850,9,School screening
851,851,2,School screening
852,852,2,School screening
853,853,2,School screening
854,854,16,School screening
855,855,2,School screening
856,856,9,School screening
857,857,0,-
858,858,9,School screening
859,859,9,School screening
860,860,23,School screening
861,861,2,School screening
862,862,9,School screening
863,863,9,School screening
864,864,16,School screening
865,865,2,School screening
866,866,9,School screening
867,867,2,School screening
868,868,2,School screening
869,869,2,School screening
870,870,9,School screening
871,871,0,-
872,872,9,School screening
873,873,2,School screening
874,874,2,School screening
875,875,9,School screening
876,876,9,School screening
877,877,2,School screening
878,878,2,School screening
879,879,9,School screening
880,880,0,-
881,881,9,School screening
882,882,2,School screening
883,883,9,School screening
884,884,16,School screening
885,885,16,School screening
886,886,9,School screening
887,887,9,School screening
888,888,16,School screening
889,889,9,School screening
890,890,9,School screening
891,891,2,School screening
892,892,9,School screening
893,893,9,School screening
894,894,0,-
895,895,2,School screening
896,896,9,School screening
897,897,2,School screening
898,898,2,School screening
899,899,16,School screening
900,900,16,School screening
901,901,9,School screening
902,902,9,School screening
903,903,16,School screening
904,904,2,School screening
905,905,2,School screening
906,906,2,School screening
907,907,2,School screening
908,908,9,School screening
909,909,9,School screening
910,910,9,School screening
911,911,9,School screening
912,912,2,School screening
913,913,0,-
914,914,9,School screening
915,915,0,-
916,916,0,-
917,917,16,School screening
918,918,2,School screening
919,919,9,School screening
920,920,0,-
921,921,9,School screening
922,922,0,-
923,923,16,School screening
924,924,9,School screening
925,925,2,School screening
926,926,9,School screening
927,927,0,-
928,928,2,School screening
929,929,9,School screening
930,930,9,School screening
931,931,2,School screening
932,932,16,School screening
933,933,2,School screening
934,934,23,School screening
935,935,23,School screening
936,936,16,School screening
937,937,2,School screening
938,938,9,School screening
939,939,2,School screening
940,940,9,School screening
941,941,23,School screening
942,942,9,School screening
943,943,9,School screening
944,944,0,-
945,945,9,School screening
946,946,9,School screening
947,947,9,School screening
948,948,16,School screening
949,949,9,School screening
950,950,16,School screening
951,951,16,School screening
952,952,2,School screening
953,953,2,School screening
954,954,9,School screening
955,955,9,School screening
956,956,16,School screening
957,957,9,School screening
958,958,0,-
959,959,9,School screening
960,960,9,School screening
961,961,2,School screening
962,962,9,School screening
963,963,9,School screening
964,964,2,School screening
965,965,23,School screening
966,966,9,School screening
967,967,9,School screening
968,968,16,School screening
969,969,9,School screening
970,970,16,School screening
971,971,9,School screening
972,972,0,-
973,973,2,School screening
974,974,23,School screening
975,975,16,School screening
976,976,0,-
977,977,30,School screening
978,978,9,School screening
979,979,16,School screening
980,980,9,School screening
981,981,0,-
982,982,16,School screening
983,983,9,School screening
984,984,23,School screening
985,985,16,School screening
986,986,0,-
987,987,0,-
988,988,2,School screening
989,989,16,School screening
990,990,0,-
991,991,2,School screening
992,992,16,School screening
993,993,16,School screening
994,994,9,School screening
995,995,0,-
996,996,23,School screening
997,997,2,School screening
998,998,9,School screening
999,999,9,School screening
