,day,fraction,policy,screening
0,1.0,0.004491666666666667,A1,Screening 25%
1,2.0,0.0046125,A1,Screening 25%
2,3.0,0.005072222222222223,A1,Screening 25%
3,4.0,0.0057395833333333335,A1,Screening 25%
4,5.0,0.006516666666666667,A1,Screening 25%
5,6.0,0.006516666666666667,A1,Screening 25%
6,7.0,0.006516666666666667,A1,Screening 25%
7,8.0,0.00692172249817721,A1,Screening 25%
8,9.0,0.007345407921776797,A1,Screening 25%
9,10.0,0.0077624097110016175,A1,Screening 25%
10,11.0,0.008093513384885488,A1,Screening 25%
11,12.0,0.008357264166813901,A1,Screening 25%
12,13.0,0.008357264166813901,A1,Screening 25%
13,14.0,0.008357264166813901,A1,Screening 25%
14,15.0,0.008365414741204846,A1,Screening 25%
15,16.0,0.00837723715128708,A1,Screening 25%
16,17.0,0.008329789367580127,A1,Screening 25%
17,18.0,0.008297212945401278,A1,Screening 25%
18,19.0,0.00823634613987944,A1,Screening 25%
19,20.0,0.00823634613987944,A1,Screening 25%
20,21.0,0.00823634613987944,A1,Screening 25%
21,22.0,0.00806119891509853,A1,Screening 25%
22,23.0,0.007928833881260878,A1,Screening 25%
23,24.0,0.00778585399488799,A1,Screening 25%
24,25.0,0.007648707428084572,A1,Screening 25%
25,26.0,0.007538522296260731,A1,Screening 25%
26,27.0,0.007538522296260731,A1,Screening 25%
27,28.0,0.007538522296260731,A1,Screening 25%
28,29.0,0.007304691382062374,A1,Screening 25%
29,30.0,0.007118043927769623,A1,Screening 25%
30,31.0,0.006951332526941735,A1,Screening 25%
31,32.0,0.0067801143605539455,A1,Screening 25%
32,33.0,0.0066524411067608175,A1,Screening 25%
33,34.0,0.0066524411067608175,A1,Screening 25%
34,35.0,0.0066524411067608175,A1,Screening 25%
35,1.0,0.004054166666666667,A1,Screening 50%
36,2.0,0.004245833333333333,A1,Screening 50%
37,3.0,0.004665277777777778,A1,Screening 50%
38,4.0,0.005255208333333333,A1,Screening 50%
39,5.0,0.006080833333333333,A1,Screening 50%
40,6.0,0.006080833333333333,A1,Screening 50%
41,7.0,0.006080833333333333,A1,Screening 50%
42,8.0,0.006156180301621373,A1,Screening 50%
43,9.0,0.0062260605622606055,A1,Screening 50%
44,10.0,0.00628535445737357,A1,Screening 50%
45,11.0,0.006327798968551297,A1,Screening 50%
46,12.0,0.006308866972375294,A1,Screening 50%
47,13.0,0.006308866972375294,A1,Screening 50%
48,14.0,0.006308866972375294,A1,Screening 50%
49,15.0,0.005987259069216302,A1,Screening 50%
50,16.0,0.005744187073584575,A1,Screening 50%
51,17.0,0.0055445551067664816,A1,Screening 50%
52,18.0,0.00533138916482542,A1,Screening 50%
53,19.0,0.0051764966287737675,A1,Screening 50%
54,20.0,0.0051764966287737675,A1,Screening 50%
55,21.0,0.0051764966287737675,A1,Screening 50%
56,22.0,0.0049168167906581284,A1,Screening 50%
57,23.0,0.004700452050639121,A1,Screening 50%
58,24.0,0.004525533073256133,A1,Screening 50%
59,25.0,0.00435155438645666,A1,Screening 50%
60,26.0,0.004199163622148637,A1,Screening 50%
61,27.0,0.004199163622148637,A1,Screening 50%
62,28.0,0.004199163622148637,A1,Screening 50%
63,29.0,0.004013289964258666,A1,Screening 50%
64,30.0,0.0038614268851169366,A1,Screening 50%
65,31.0,0.0037134740560137262,A1,Screening 50%
66,32.0,0.0035838076121619067,A1,Screening 50%
67,33.0,0.003452062965546874,A1,Screening 50%
68,34.0,0.003452062965546874,A1,Screening 50%
69,35.0,0.003452062965546874,A1,Screening 50%
70,1.0,0.004073867736993378,A1,Screening 100%
71,2.0,0.004323320551414974,A1,Screening 100%
72,3.0,0.004788716498578276,A1,Screening 100%
73,4.0,0.005462106387777091,A1,Screening 100%
74,5.0,0.006360704069383644,A1,Screening 100%
75,6.0,0.006360704069383644,A1,Screening 100%
76,7.0,0.006360704069383644,A1,Screening 100%
77,8.0,0.006017058136729641,A1,Screening 100%
78,9.0,0.0052042651390161315,A1,Screening 100%
79,10.0,0.00464965126154303,A1,Screening 100%
80,11.0,0.0042610366073539616,A1,Screening 100%
81,12.0,0.003979255585039262,A1,Screening 100%
82,13.0,0.003979255585039262,A1,Screening 100%
83,14.0,0.003979255585039262,A1,Screening 100%
84,15.0,0.0038085382728316832,A1,Screening 100%
85,16.0,0.003471481385883833,A1,Screening 100%
86,17.0,0.0031932323866432125,A1,Screening 100%
87,18.0,0.002967251553886681,A1,Screening 100%
88,19.0,0.002773074091759945,A1,Screening 100%
89,20.0,0.002773074091759945,A1,Screening 100%
90,21.0,0.002773074091759945,A1,Screening 100%
91,22.0,0.002669549702288129,A1,Screening 100%
92,23.0,0.0024954279208925004,A1,Screening 100%
93,24.0,0.00234300463453864,A1,Screening 100%
94,25.0,0.0022086005303833733,A1,Screening 100%
95,26.0,0.002089751643956249,A1,Screening 100%
96,27.0,0.002089751643956249,A1,Screening 100%
97,28.0,0.002089751643956249,A1,Screening 100%
98,29.0,0.002025062492938651,A1,Screening 100%
99,30.0,0.0019232254357828278,A1,Screening 100%
100,31.0,0.0018313397543295033,A1,Screening 100%
101,32.0,0.001747667341099707,A1,Screening 100%
102,33.0,0.001672229383326491,A1,Screening 100%
103,34.0,0.001672229383326491,A1,Screening 100%
104,35.0,0.001672229383326491,A1,Screening 100%
105,1.0,0.004416320611693363,D1,Screening 25%
106,2.0,0.004745818571310867,D1,Screening 25%
107,3.0,0.005108374438353456,D1,Screening 25%
108,4.0,0.005775727115432149,D1,Screening 25%
109,5.0,0.006703490824720523,D1,Screening 25%
110,6.0,0.006703490824720523,D1,Screening 25%
111,7.0,0.006703490824720523,D1,Screening 25%
112,8.0,0.0076563258461674255,D1,Screening 25%
113,9.0,0.008461191870805568,D1,Screening 25%
114,10.0,0.009390372999564108,D1,Screening 25%
115,11.0,0.010268168677100988,D1,Screening 25%
116,12.0,0.011252506376087759,D1,Screening 25%
117,13.0,0.011252506376087759,D1,Screening 25%
118,14.0,0.011252506376087759,D1,Screening 25%
119,15.0,0.012080276950637906,D1,Screening 25%
120,16.0,0.01270332257831633,D1,Screening 25%
121,17.0,0.013395642628801788,D1,Screening 25%
122,18.0,0.013847146235993979,D1,Screening 25%
123,19.0,0.014373138563490484,D1,Screening 25%
124,20.0,0.014373138563490484,D1,Screening 25%
125,21.0,0.014373138563490484,D1,Screening 25%
126,22.0,0.014881470649325582,D1,Screening 25%
127,23.0,0.015284896228802835,D1,Screening 25%
128,24.0,0.01570248552511911,D1,Screening 25%
129,25.0,0.01607108288444769,D1,Screening 25%
130,26.0,0.016374438976910183,D1,Screening 25%
131,27.0,0.016374438976910183,D1,Screening 25%
132,28.0,0.016374438976910183,D1,Screening 25%
133,29.0,0.016658163224247846,D1,Screening 25%
134,30.0,0.017120293762915507,D1,Screening 25%
135,31.0,0.017372878238284786,D1,Screening 25%
136,32.0,0.017537318702424833,D1,Screening 25%
137,33.0,0.017758672208187325,D1,Screening 25%
138,34.0,0.017758672208187325,D1,Screening 25%
139,35.0,0.017758672208187325,D1,Screening 25%
140,1.0,0.0038992201559688066,D1,Screening 50%
141,2.0,0.004099180163967207,D1,Screening 50%
142,3.0,0.004682396853962541,D1,Screening 50%
143,4.0,0.005378091048456975,D1,Screening 50%
144,5.0,0.006245417583150037,D1,Screening 50%
145,6.0,0.006245417583150037,D1,Screening 50%
146,7.0,0.006245417583150037,D1,Screening 50%
147,8.0,0.007085766428434314,D1,Screening 50%
148,9.0,0.007829755937982793,D1,Screening 50%
149,10.0,0.0083937572215617,D1,Screening 50%
150,11.0,0.00909959990086039,D1,Screening 50%
151,12.0,0.009834440701884066,D1,Screening 50%
152,13.0,0.009834440701884066,D1,Screening 50%
153,14.0,0.009834440701884066,D1,Screening 50%
154,15.0,0.010414960310473901,D1,Screening 50%
155,16.0,0.01088568901687127,D1,Screening 50%
156,17.0,0.011271358841536731,D1,Screening 50%
157,18.0,0.01158992653505457,D1,Screening 50%
158,19.0,0.011861738937712868,D1,Screening 50%
159,20.0,0.011861738937712868,D1,Screening 50%
160,21.0,0.011861738937712868,D1,Screening 50%
161,22.0,0.012048448721067206,D1,Screening 50%
162,23.0,0.012154735979581164,D1,Screening 50%
163,24.0,0.012280615328648327,D1,Screening 50%
164,25.0,0.012395086182336822,D1,Screening 50%
165,26.0,0.012525041536473469,D1,Screening 50%
166,27.0,0.012525041536473469,D1,Screening 50%
167,28.0,0.012525041536473469,D1,Screening 50%
168,29.0,0.012430535125042889,D1,Screening 50%
169,30.0,0.012417360952724197,D1,Screening 50%
170,31.0,0.012484071686724543,D1,Screening 50%
171,32.0,0.012431956904073975,D1,Screening 50%
172,33.0,0.01236856596316757,D1,Screening 50%
173,34.0,0.01236856596316757,D1,Screening 50%
174,35.0,0.01236856596316757,D1,Screening 50%
175,1.0,0.0042250000000000005,D1,Screening 100%
176,2.0,0.0044041666666666665,D1,Screening 100%
177,3.0,0.004861111111111111,D1,Screening 100%
178,4.0,0.005485416666666666,D1,Screening 100%
179,5.0,0.00634,D1,Screening 100%
180,6.0,0.00634,D1,Screening 100%
181,7.0,0.00634,D1,Screening 100%
182,8.0,0.006828188613552957,D1,Screening 100%
183,9.0,0.00736894430769415,D1,Screening 100%
184,10.0,0.007839309392671544,D1,Screening 100%
185,11.0,0.008280997801720424,D1,Screening 100%
186,12.0,0.008703051053111425,D1,Screening 100%
187,13.0,0.008703051053111425,D1,Screening 100%
188,14.0,0.008703051053111425,D1,Screening 100%
189,15.0,0.008850435866462518,D1,Screening 100%
190,16.0,0.00888427343725164,D1,Screening 100%
191,17.0,0.008849569080646604,D1,Screening 100%
192,18.0,0.008821920237161975,D1,Screening 100%
193,19.0,0.008760949058363957,D1,Screening 100%
194,20.0,0.008760949058363957,D1,Screening 100%
195,21.0,0.008760949058363957,D1,Screening 100%
196,22.0,0.008564284569754894,D1,Screening 100%
197,23.0,0.008411001816928764,D1,Screening 100%
198,24.0,0.008231955043155615,D1,Screening 100%
199,25.0,0.008087447092149066,D1,Screening 100%
200,26.0,0.007930492344472314,D1,Screening 100%
201,27.0,0.007930492344472314,D1,Screening 100%
202,28.0,0.007930492344472314,D1,Screening 100%
203,29.0,0.007691861175483953,D1,Screening 100%
204,30.0,0.007513944090367237,D1,Screening 100%
205,31.0,0.007330567235335808,D1,Screening 100%
206,32.0,0.0071721256918222355,D1,Screening 100%
207,33.0,0.007006492035289689,D1,Screening 100%
208,34.0,0.007006492035289689,D1,Screening 100%
209,35.0,0.007006492035289689,D1,Screening 100%
210,1.0,0.0046,D2,Screening 25%
211,2.0,0.0044625,D2,Screening 25%
212,3.0,0.005088512529695762,D2,Screening 25%
213,4.0,0.005256176539435511,D2,Screening 25%
214,5.0,0.005552327884437636,D2,Screening 25%
215,6.0,0.005552327884437636,D2,Screening 25%
216,7.0,0.005552327884437636,D2,Screening 25%
217,8.0,0.006856407681686959,D2,Screening 25%
218,9.0,0.007932178144944102,D2,Screening 25%
219,10.0,0.009210056424541105,D2,Screening 25%
220,11.0,0.00947803431856976,D2,Screening 25%
221,12.0,0.009783379968671764,D2,Screening 25%
222,13.0,0.009783379968671764,D2,Screening 25%
223,14.0,0.009783379968671764,D2,Screening 25%
224,15.0,0.01117240767308062,D2,Screening 25%
225,16.0,0.01223946737908954,D2,Screening 25%
226,17.0,0.013303290108996757,D2,Screening 25%
227,18.0,0.013491539613285463,D2,Screening 25%
228,19.0,0.01352916000270313,D2,Screening 25%
229,20.0,0.01352916000270313,D2,Screening 25%
230,21.0,0.01352916000270313,D2,Screening 25%
231,22.0,0.014127219547763262,D2,Screening 25%
232,23.0,0.014612269628107096,D2,Screening 25%
233,24.0,0.015260401870109463,D2,Screening 25%
234,25.0,0.01548928453846724,D2,Screening 25%
235,26.0,0.015720515136673236,D2,Screening 25%
236,27.0,0.015720515136673236,D2,Screening 25%
237,28.0,0.015720515136673236,D2,Screening 25%
238,29.0,0.01606593665221692,D2,Screening 25%
239,30.0,0.016479466952684263,D2,Screening 25%
240,31.0,0.017093802345058626,D2,Screening 25%
241,32.0,0.017164362988628213,D2,Screening 25%
242,33.0,0.017319520440998767,D2,Screening 25%
243,34.0,0.017319520440998767,D2,Screening 25%
244,35.0,0.017319520440998767,D2,Screening 25%
245,1.0,0.00391435262629642,D2,Screening 50%
246,2.0,0.003939477580106893,D2,Screening 50%
247,3.0,0.0044772849670935535,D2,Screening 50%
248,4.0,0.004743712070583964,D2,Screening 50%
249,5.0,0.005252245100305153,D2,Screening 50%
250,6.0,0.005252245100305153,D2,Screening 50%
251,7.0,0.005252245100305153,D2,Screening 50%
252,8.0,0.006238817017889989,D2,Screening 50%
253,9.0,0.006998716901901318,D2,Screening 50%
254,10.0,0.007919305472675124,D2,Screening 50%
255,11.0,0.008293961938397945,D2,Screening 50%
256,12.0,0.00870188627413538,D2,Screening 50%
257,13.0,0.00870188627413538,D2,Screening 50%
258,14.0,0.00870188627413538,D2,Screening 50%
259,15.0,0.009291374387912209,D2,Screening 50%
260,16.0,0.009751974364797012,D2,Screening 50%
261,17.0,0.010183782554866643,D2,Screening 50%
262,18.0,0.010336640019637139,D2,Screening 50%
263,19.0,0.010439443771798255,D2,Screening 50%
264,20.0,0.010439443771798255,D2,Screening 50%
265,21.0,0.010439443771798255,D2,Screening 50%
266,22.0,0.0104964993967407,D2,Screening 50%
267,23.0,0.010600416237263259,D2,Screening 50%
268,24.0,0.010774337985541392,D2,Screening 50%
269,25.0,0.010884180318364045,D2,Screening 50%
270,26.0,0.01095474925586828,D2,Screening 50%
271,27.0,0.01095474925586828,D2,Screening 50%
272,28.0,0.01095474925586828,D2,Screening 50%
273,29.0,0.010970735457084057,D2,Screening 50%
274,30.0,0.011018781198376263,D2,Screening 50%
275,31.0,0.011011763340309844,D2,Screening 50%
276,32.0,0.01099748975713612,D2,Screening 50%
277,33.0,0.010961499331833855,D2,Screening 50%
278,34.0,0.010961499331833855,D2,Screening 50%
279,35.0,0.010961499331833855,D2,Screening 50%
280,1.0,0.004391666666666666,D2,Screening 100%
281,2.0,0.004754166666666666,D2,Screening 100%
282,3.0,0.005260328149704064,D2,Screening 100%
