,trace,day,type
970,970,12,School screening
971,971,5,School screening
972,972,5,School screening
973,973,5,School screening
974,974,12,School screening
975,975,5,School screening
976,976,5,School screening
977,977,12,School screening
978,978,0,-
979,979,12,School screening
980,980,5,School screening
981,981,12,School screening
982,982,12,School screening
983,983,5,School screening
984,984,0,-
985,985,12,School screening
986,986,26,School screening
987,987,19,School screening
988,988,12,School screening
989,989,5,School screening
990,990,0,-
991,991,5,School screening
992,992,12,School screening
993,993,0,-
994,994,0,-
995,995,5,School screening
996,996,5,School screening
997,997,5,School screening
998,998,19,School screening
999,999,5,School screening
