,day,students,dad_type,dl_type,type_pretty
0,1.0,1.0,,Not distance learning,0%
1,2.0,1.99999625,,Not distance learning,0%
2,3.0,2.9999087500000003,,Not distance learning,0%
3,4.0,3.999541666666667,,Not distance learning,0%
4,5.0,4.998828333333334,,Not distance learning,0%
5,6.0,5.997685416666667,,Not distance learning,0%
6,7.0,6.996100416666667,,Not distance learning,0%
7,8.0,7.983875833333333,,Not distance learning,0%
8,9.0,8.971205,,Not distance learning,0%
9,10.0,9.957920833333333,,Not distance learning,0%
10,11.0,10.942617916666666,,Not distance learning,0%
11,12.0,11.925299999999998,,Not distance learning,0%
12,13.0,12.904775416666665,,Not distance learning,0%
13,14.0,13.881785416666665,,Not distance learning,0%
14,15.0,14.815764999999997,,Not distance learning,0%
15,16.0,15.748322083333331,,Not distance learning,0%
16,17.0,16.679277916666663,,Not distance learning,0%
17,18.0,17.607151666666663,,Not distance learning,0%
18,19.0,18.531842916666665,,Not distance learning,0%
19,20.0,19.44946083333333,,Not distance learning,0%
20,21.0,20.36263208333333,,Not distance learning,0%
21,22.0,21.225390833333332,,Not distance learning,0%
22,23.0,22.087886666666666,,Not distance learning,0%
23,24.0,22.94911875,,Not distance learning,0%
24,25.0,23.809779583333334,,Not distance learning,0%
25,26.0,24.668275833333333,,Not distance learning,0%
26,27.0,25.522600833333332,,Not distance learning,0%
27,28.0,26.37527833333333,,Not distance learning,0%
28,29.0,27.20123291666666,,Not distance learning,0%
29,30.0,28.027137916666664,,Not distance learning,0%
30,31.0,28.852212916666662,,Not distance learning,0%
31,32.0,29.67771708333333,,Not distance learning,0%
32,33.0,30.503125833333332,,Not distance learning,0%
33,34.0,31.326933333333333,,Not distance learning,0%
34,35.0,32.14973083333334,,Not distance learning,0%
35,36.0,32.9621225,,Not distance learning,0%
36,37.0,33.773171250000004,,Not distance learning,0%
37,38.0,34.58514125,,Not distance learning,0%
38,39.0,35.39600625,,Not distance learning,0%
39,40.0,36.207384166666664,,Not distance learning,0%
40,41.0,37.019713333333335,,Not distance learning,0%
41,42.0,37.83155875,,Not distance learning,0%
42,43.0,38.649769166666665,,Not distance learning,0%
43,44.0,39.46826291666666,,Not distance learning,0%
44,45.0,40.28683541666666,,Not distance learning,0%
45,46.0,41.10509083333333,,Not distance learning,0%
46,47.0,41.92360958333333,,Not distance learning,0%
47,48.0,42.74545625,,Not distance learning,0%
48,49.0,43.56857916666666,,Not distance learning,0%
49,50.0,44.40622125,,Not distance learning,0%
50,51.0,45.2446175,,Not distance learning,0%
51,52.0,46.08141208333333,,Not distance learning,0%
52,53.0,46.920296666666665,,Not distance learning,0%
53,54.0,47.7607825,,Not distance learning,0%
54,55.0,48.60233625,,Not distance learning,0%
55,56.0,49.445225,,Not distance learning,0%
56,57.0,50.29894125,,Not distance learning,0%
57,58.0,51.15214458333333,,Not distance learning,0%
58,59.0,52.0063325,,Not distance learning,0%
59,60.0,52.86144541666667,,Not distance learning,0%
60,1.0,0.0,,Distance learning,0%
61,2.0,4.166666666666667e-06,,Distance learning,0%
62,3.0,9.166666666666667e-05,,Distance learning,0%
63,4.0,0.00045875,,Distance learning,0%
64,5.0,0.0011716666666666668,,Distance learning,0%
65,6.0,0.0023141666666666666,,Distance learning,0%
66,7.0,0.00389875,,Distance learning,0%
67,8.0,0.01612333333333333,,Distance learning,0%
68,9.0,0.028794166666666662,,Distance learning,0%
69,10.0,0.04207833333333333,,Distance learning,0%
70,11.0,0.057380833333333325,,Distance learning,0%
71,12.0,0.0746975,,Distance learning,0%
72,13.0,0.09522208333333332,,Distance learning,0%
73,14.0,0.11821083333333333,,Distance learning,0%
74,15.0,0.18423083333333334,,Distance learning,0%
75,16.0,0.2516729166666667,,Distance learning,0%
76,17.0,0.32071625000000004,,Distance learning,0%
77,18.0,0.3928420833333333,,Distance learning,0%
78,19.0,0.4681504166666667,,Distance learning,0%
79,20.0,0.5505329166666667,,Distance learning,0%
80,21.0,0.6373620833333333,,Distance learning,0%
81,22.0,0.77460375,,Distance learning,0%
82,23.0,0.9121083333333334,,Distance learning,0%
83,24.0,1.0508766666666667,,Distance learning,0%
84,25.0,1.19021625,,Distance learning,0%
85,26.0,1.33172,,Distance learning,0%
86,27.0,1.4773945833333333,,Distance learning,0%
87,28.0,1.6247166666666668,,Distance learning,0%
88,29.0,1.7987608333333334,,Distance learning,0%
89,30.0,1.972855416666667,,Distance learning,0%
90,31.0,2.1477812500000004,,Distance learning,0%
91,32.0,2.3222770833333337,,Distance learning,0%
92,33.0,2.4968687500000004,,Distance learning,0%
93,34.0,2.6730616666666673,,Distance learning,0%
94,35.0,2.850262916666667,,Distance learning,0%
95,36.0,3.0378712500000002,,Distance learning,0%
96,37.0,3.2268225,,Distance learning,0%
97,38.0,3.414852083333334,,Distance learning,0%
98,39.0,3.6039870833333336,,Distance learning,0%
99,40.0,3.792609166666667,,Distance learning,0%
100,41.0,3.98028,,Distance learning,0%
101,42.0,4.168435,,Distance learning,0%
102,43.0,4.350224583333333,,Distance learning,0%
103,44.0,4.531731249999999,,Distance learning,0%
104,45.0,4.713158333333333,,Distance learning,0%
105,46.0,4.8949025,,Distance learning,0%
106,47.0,5.07638375,,Distance learning,0%
107,48.0,5.254536666666666,,Distance learning,0%
108,49.0,5.4314133333333325,,Distance learning,0%
109,50.0,5.593771249999999,,Distance learning,0%
110,51.0,5.755374583333332,,Distance learning,0%
111,52.0,5.918579999999998,,Distance learning,0%
112,53.0,6.079695416666665,,Distance learning,0%
113,54.0,6.239209166666665,,Distance learning,0%
114,55.0,6.397655416666665,,Distance learning,0%
115,56.0,6.554767499999998,,Distance learning,0%
116,57.0,6.701052083333332,,Distance learning,0%
117,58.0,6.8478491666666645,,Distance learning,0%
118,59.0,6.993662499999998,,Distance learning,0%
119,60.0,7.138549166666665,,Distance learning,0%
120,1.0,1.0,,Not distance learning,10%
121,2.0,2.0,,Not distance learning,10%
122,3.0,2.9999166666666666,,Not distance learning,10%
123,4.0,3.9998291666666668,,Not distance learning,10%
124,5.0,4.999140833333334,,Not distance learning,10%
125,6.0,5.998185833333334,,Not distance learning,10%
126,7.0,6.9968633333333345,,Not distance learning,10%
127,8.0,7.986519583333334,,Not distance learning,10%
128,9.0,8.975809166666668,,Not distance learning,10%
129,10.0,9.964305833333334,,Not distance learning,10%
130,11.0,10.951530833333335,,Not distance learning,10%
131,12.0,11.937487500000001,,Not distance learning,10%
132,13.0,12.92040375,,Not distance learning,10%
133,14.0,13.900972083333334,,Not distance learning,10%
134,15.0,14.843705833333335,,Not distance learning,10%
135,16.0,15.785063750000003,,Not distance learning,10%
136,17.0,16.724903750000003,,Not distance learning,10%
137,18.0,17.66281291666667,,Not distance learning,10%
138,19.0,18.598536250000002,,Not distance learning,10%
139,20.0,19.528854166666672,,Not distance learning,10%
140,21.0,20.456068750000004,,Not distance learning,10%
141,22.0,21.339568750000005,,Not distance learning,10%
142,23.0,22.222735000000004,,Not distance learning,10%
143,24.0,23.104658750000002,,Not distance learning,10%
144,25.0,23.984334583333336,,Not distance learning,10%
145,26.0,24.861362500000002,,Not distance learning,10%
146,27.0,25.735244583333337,,Not distance learning,10%
147,28.0,26.60752958333334,,Not distance learning,10%
148,29.0,27.45807541666667,,Not distance learning,10%
149,30.0,28.308125000000008,,Not distance learning,10%
150,31.0,29.15706125000001,,Not distance learning,10%
151,32.0,30.005739166666675,,Not distance learning,10%
152,33.0,30.853758333333342,,Not distance learning,10%
153,34.0,31.701242916666676,,Not distance learning,10%
154,35.0,32.54898666666667,,Not distance learning,10%
155,36.0,33.39227958333334,,Not distance learning,10%
156,37.0,34.23515958333334,,Not distance learning,10%
157,38.0,35.07836875,,Not distance learning,10%
158,39.0,35.923255833333336,,Not distance learning,10%
159,40.0,36.76858500000001,,Not distance learning,10%
160,41.0,37.61535708333334,,Not distance learning,10%
161,42.0,38.46199958333334,,Not distance learning,10%
162,43.0,39.31526583333334,,Not distance learning,10%
163,44.0,40.16903250000001,,Not distance learning,10%
164,45.0,41.02448791666668,,Not distance learning,10%
165,46.0,41.879868750000014,,Not distance learning,10%
166,47.0,42.736258333333346,,Not distance learning,10%
167,48.0,43.59348208333335,,Not distance learning,10%
168,49.0,44.451206666666685,,Not distance learning,10%
169,50.0,45.31461583333335,,Not distance learning,10%
170,51.0,46.17753750000001,,Not distance learning,10%
171,52.0,47.04063416666668,,Not distance learning,10%
172,53.0,47.903714166666674,,Not distance learning,10%
173,54.0,48.76837458333334,,Not distance learning,10%
174,55.0,49.633143333333344,,Not distance learning,10%
175,56.0,50.49865833333334,,Not distance learning,10%
176,57.0,51.37097666666668,,Not distance learning,10%
177,58.0,52.24356166666668,,Not distance learning,10%
178,59.0,53.11524583333335,,Not distance learning,10%
179,60.0,53.98749750000001,,Not distance learning,10%
180,1.0,0.0,,Distance learning,10%
181,2.0,0.0,,Distance learning,10%
182,3.0,8.333333333333334e-05,,Distance learning,10%
183,4.0,0.00017083333333333336,,Distance learning,10%
184,5.0,0.0008587500000000001,,Distance learning,10%
185,6.0,0.0018133333333333335,,Distance learning,10%
186,7.0,0.003135,,Distance learning,10%
187,8.0,0.013478333333333333,,Distance learning,10%
188,9.0,0.02418875,,Distance learning,10%
189,10.0,0.03569166666666666,,Distance learning,10%
190,11.0,0.04846666666666666,,Distance learning,10%
191,12.0,0.06251,,Distance learning,10%
192,13.0,0.07959333333333332,,Distance learning,10%
193,14.0,0.09902499999999999,,Distance learning,10%
194,15.0,0.15629083333333332,,Distance learning,10%
195,16.0,0.2149325,,Distance learning,10%
196,17.0,0.2750916666666666,,Distance learning,10%
197,18.0,0.33718249999999994,,Distance learning,10%
198,19.0,0.40145833333333325,,Distance learning,10%
