,day,students,dad_type,dl_type,type_pretty
199,20.0,0.47114041666666656,,Distance learning,10%
200,21.0,0.54392625,,Distance learning,10%
201,22.0,0.66042625,,Distance learning,10%
202,23.0,0.7772604166666667,,Distance learning,10%
203,24.0,0.8953370833333333,,Distance learning,10%
204,25.0,1.0156620833333334,,Distance learning,10%
205,26.0,1.138635,,Distance learning,10%
206,27.0,1.2647529166666667,,Distance learning,10%
207,28.0,1.392467916666667,,Distance learning,10%
208,29.0,1.5419216666666669,,Distance learning,10%
209,30.0,1.6918716666666669,,Distance learning,10%
210,31.0,1.8429358333333334,,Distance learning,10%
211,32.0,1.9942583333333337,,Distance learning,10%
212,33.0,2.14624,,Distance learning,10%
213,34.0,2.298755416666667,,Distance learning,10%
214,35.0,2.4510125,,Distance learning,10%
215,36.0,2.6077195833333335,,Distance learning,10%
216,37.0,2.76484,,Distance learning,10%
217,38.0,2.9216304166666665,,Distance learning,10%
218,39.0,3.07674375,,Distance learning,10%
219,40.0,3.2314154166666667,,Distance learning,10%
220,41.0,3.3846433333333334,,Distance learning,10%
221,42.0,3.5380012499999998,,Distance learning,10%
222,43.0,3.6847349999999994,,Distance learning,10%
223,44.0,3.8309687499999994,,Distance learning,10%
224,45.0,3.9755141666666662,,Distance learning,10%
225,46.0,4.120134583333333,,Distance learning,10%
226,47.0,4.263744999999999,,Distance learning,10%
227,48.0,4.4065216666666664,,Distance learning,10%
228,49.0,4.548798333333334,,Distance learning,10%
229,50.0,4.685389166666667,,Distance learning,10%
230,51.0,4.822467916666667,,Distance learning,10%
231,52.0,4.95937125,,Distance learning,10%
232,53.0,5.096291249999999,,Distance learning,10%
233,54.0,5.231630416666666,,Distance learning,10%
234,55.0,5.366861666666666,,Distance learning,10%
235,56.0,5.501346666666666,,Distance learning,10%
236,57.0,5.62902875,,Distance learning,10%
237,58.0,5.75644375,,Distance learning,10%
238,59.0,5.88475875,,Distance learning,10%
239,60.0,6.0125070833333325,,Distance learning,10%
240,1.0,1.0,,Not distance learning,40%
241,2.0,2.0,,Not distance learning,40%
242,3.0,3.0,,Not distance learning,40%
243,4.0,3.9999829166666667,,Not distance learning,40%
244,5.0,4.999699583333334,,Not distance learning,40%
245,6.0,5.999399583333333,,Not distance learning,40%
246,7.0,6.9989075,,Not distance learning,40%
247,8.0,7.9930337499999995,,Not distance learning,40%
248,9.0,8.987055833333333,,Not distance learning,40%
249,10.0,9.980723333333334,,Not distance learning,40%
250,11.0,10.9742825,,Not distance learning,40%
251,12.0,11.96725,,Not distance learning,40%
252,13.0,12.959204166666666,,Not distance learning,40%
253,14.0,13.950136666666667,,Not distance learning,40%
254,15.0,14.927225,,Not distance learning,40%
255,16.0,15.903467083333334,,Not distance learning,40%
256,17.0,16.87902125,,Not distance learning,40%
257,18.0,17.853908333333333,,Not distance learning,40%
258,19.0,18.827694166666667,,Not distance learning,40%
259,20.0,19.797249583333333,,Not distance learning,40%
260,21.0,20.765300416666665,,Not distance learning,40%
261,22.0,21.7152125,,Not distance learning,40%
262,23.0,22.66437375,,Not distance learning,40%
263,24.0,23.613368333333334,,Not distance learning,40%
264,25.0,24.560949583333336,,Not distance learning,40%
265,26.0,25.506933749999998,,Not distance learning,40%
266,27.0,26.450355,,Not distance learning,40%
267,28.0,27.392759166666664,,Not distance learning,40%
268,29.0,28.32187666666666,,Not distance learning,40%
269,30.0,29.25091083333333,,Not distance learning,40%
270,31.0,30.17903208333333,,Not distance learning,40%
271,32.0,31.106648749999994,,Not distance learning,40%
272,33.0,32.03420708333333,,Not distance learning,40%
273,34.0,32.961885833333326,,Not distance learning,40%
274,35.0,33.88932416666666,,Not distance learning,40%
275,36.0,34.80960833333333,,Not distance learning,40%
276,37.0,35.73016333333332,,Not distance learning,40%
277,38.0,36.64984666666666,,Not distance learning,40%
278,39.0,37.56976791666666,,Not distance learning,40%
279,40.0,38.49076458333332,,Not distance learning,40%
280,41.0,39.411302916666656,,Not distance learning,40%
281,42.0,40.33192833333332,,Not distance learning,40%
282,43.0,41.254079999999995,,Not distance learning,40%
283,44.0,42.17647374999999,,Not distance learning,40%
284,45.0,43.09912999999999,,Not distance learning,40%
285,46.0,44.021785833333325,,Not distance learning,40%
286,47.0,44.944516666666665,,Not distance learning,40%
287,48.0,45.86891541666667,,Not distance learning,40%
288,49.0,46.79371083333333,,Not distance learning,40%
289,50.0,47.72362916666666,,Not distance learning,40%
290,51.0,48.653535,,Not distance learning,40%
291,52.0,49.58426999999999,,Not distance learning,40%
292,53.0,50.51493041666666,,Not distance learning,40%
293,54.0,51.445419583333326,,Not distance learning,40%
294,55.0,52.37650499999999,,Not distance learning,40%
295,56.0,53.30775291666666,,Not distance learning,40%
296,57.0,54.24121083333332,,Not distance learning,40%
297,58.0,55.17442708333332,,Not distance learning,40%
298,59.0,56.10845624999999,,Not distance learning,40%
299,60.0,57.042227083333316,,Not distance learning,40%
300,1.0,0.0,,Distance learning,40%
301,2.0,0.0,,Distance learning,40%
302,3.0,0.0,,Distance learning,40%
303,4.0,1.6666666666666667e-05,,Distance learning,40%
304,5.0,0.00030000000000000003,,Distance learning,40%
305,6.0,0.0006000000000000001,,Distance learning,40%
306,7.0,0.0010916666666666668,,Distance learning,40%
307,8.0,0.006965416666666667,,Distance learning,40%
308,9.0,0.012943333333333333,,Distance learning,40%
309,10.0,0.019275416666666663,,Distance learning,40%
310,11.0,0.02571583333333333,,Distance learning,40%
311,12.0,0.03274833333333333,,Distance learning,40%
312,13.0,0.040794166666666666,,Distance learning,40%
313,14.0,0.04986083333333333,,Distance learning,40%
314,15.0,0.07277208333333333,,Distance learning,40%
315,16.0,0.09653041666666666,,Distance learning,40%
316,17.0,0.12097625,,Distance learning,40%
317,18.0,0.14609,,Distance learning,40%
318,19.0,0.17230416666666665,,Distance learning,40%
319,20.0,0.20274916666666665,,Distance learning,40%
320,21.0,0.23469875,,Distance learning,40%
321,22.0,0.28478708333333336,,Distance learning,40%
322,23.0,0.33562583333333335,,Distance learning,40%
323,24.0,0.38663083333333337,,Distance learning,40%
324,25.0,0.43904875000000004,,Distance learning,40%
325,26.0,0.49306375,,Distance learning,40%
326,27.0,0.5496416666666666,,Distance learning,40%
327,28.0,0.6072370833333333,,Distance learning,40%
328,29.0,0.6781187499999999,,Distance learning,40%
329,30.0,0.7490841666666666,,Distance learning,40%
330,31.0,0.8209629166666665,,Distance learning,40%
331,32.0,0.8933458333333333,,Distance learning,40%
332,33.0,0.9657874999999999,,Distance learning,40%
333,34.0,1.0381079166666667,,Distance learning,40%
334,35.0,1.1106695833333333,,Distance learning,40%
335,36.0,1.1903854166666668,,Distance learning,40%
336,37.0,1.26983,,Distance learning,40%
337,38.0,1.35014625,,Distance learning,40%
338,39.0,1.430225,,Distance learning,40%
339,40.0,1.5092275000000002,,Distance learning,40%
340,41.0,1.58868875,,Distance learning,40%
341,42.0,1.6680629166666667,,Distance learning,40%
342,43.0,1.7459108333333333,,Distance learning,40%
343,44.0,1.8235175000000001,,Distance learning,40%
344,45.0,1.9008608333333334,,Distance learning,40%
345,46.0,1.9782045833333335,,Distance learning,40%
346,47.0,2.055472916666667,,Distance learning,40%
347,48.0,2.1310733333333336,,Distance learning,40%
348,49.0,2.2062779166666666,,Distance learning,40%
349,50.0,2.2763595833333334,,Distance learning,40%
350,51.0,2.3464533333333337,,Distance learning,40%
351,52.0,2.415717916666667,,Distance learning,40%
352,53.0,2.4850570833333334,,Distance learning,40%
353,54.0,2.554567916666667,,Distance learning,40%
354,55.0,2.6234825,,Distance learning,40%
355,56.0,2.692234583333333,,Distance learning,40%
356,57.0,2.758776666666667,,Distance learning,40%
357,58.0,2.825560416666667,,Distance learning,40%
358,59.0,2.89153125,,Distance learning,40%
359,60.0,2.9577604166666664,,Distance learning,40%
