,day,infected,type,type_pretty
0,0.0,0.0,Infected,0%
1,1.0,0.0,Infected,0%
2,2.0,0.0611,Infected,0%
3,3.0,0.1772,Infected,0%
4,4.0,0.3814,Infected,0%
5,5.0,0.6296,Infected,0%
6,6.0,0.9899,Infected,0%
7,7.0,1.2051,Infected,0%
8,8.0,1.3542999999999998,Infected,0%
9,9.0,1.6526,Infected,0%
10,10.0,2.004,Infected,0%
11,11.0,2.5296,Infected,0%
12,12.0,3.2441999999999998,Infected,0%
13,13.0,3.9810000000000003,Infected,0%
14,14.0,4.4053,Infected,0%
15,15.0,4.6196,Infected,0%
16,16.0,4.907799999999999,Infected,0%
17,17.0,5.313200000000001,Infected,0%
18,18.0,5.8368,Infected,0%
19,19.0,6.595600000000001,Infected,0%
20,20.0,7.497599999999999,Infected,0%
21,21.0,7.8529,Infected,0%
22,22.0,7.7698,Infected,0%
23,23.0,7.9239999999999995,Infected,0%
24,24.0,8.178199999999999,Infected,0%
25,25.0,8.5576,Infected,0%
26,26.0,9.134200000000002,Infected,0%
27,27.0,9.7528,Infected,0%
28,28.0,9.935,Infected,0%
29,29.0,9.288300000000001,Infected,0%
30,30.0,9.3123,Infected,0%
31,31.0,9.4215,Infected,0%
32,32.0,9.6566,Infected,0%
33,33.0,10.1411,Infected,0%
34,34.0,10.6286,Infected,0%
35,35.0,10.495399999999998,Infected,0%
36,36.0,9.5426,Infected,0%
37,37.0,9.3743,Infected,0%
38,38.0,9.371300000000002,Infected,0%
39,39.0,9.5095,Infected,0%
40,40.0,9.771799999999999,Infected,0%
41,41.0,10.2022,Infected,0%
42,42.0,10.1311,Infected,0%
43,43.0,9.043,Infected,0%
44,44.0,8.899899999999999,Infected,0%
45,45.0,8.7977,Infected,0%
46,46.0,8.8148,Infected,0%
47,47.0,9.013,Infected,0%
48,48.0,9.2792,Infected,0%
49,49.0,9.178099999999999,Infected,0%
50,50.0,8.0511,Infected,0%
51,51.0,7.9519,Infected,0%
52,52.0,7.905899999999999,Infected,0%
53,53.0,7.997,Infected,0%
54,54.0,8.1832,Infected,0%
55,55.0,8.4435,Infected,0%
56,56.0,8.329399999999998,Infected,0%
57,57.0,7.3553999999999995,Infected,0%
58,58.0,7.2884,Infected,0%
59,59.0,7.280399999999999,Infected,0%
60,60.0,7.365399999999999,Infected,0%
61,0.0,0.0,Infected,10%
62,1.0,0.0,Infected,10%
63,2.0,0.0721,Infected,10%
64,3.0,0.1792,Infected,10%
65,4.0,0.3143,Infected,10%
66,5.0,0.5595,Infected,10%
67,6.0,0.8588,Infected,10%
68,7.0,1.081,Infected,10%
69,8.0,1.1851,Infected,10%
70,9.0,1.4313999999999998,Infected,10%
71,10.0,1.7367,Infected,10%
72,11.0,2.1972,Infected,10%
73,12.0,2.7438,Infected,10%
74,13.0,3.4084,Infected,10%
75,14.0,3.7248,Infected,10%
76,15.0,3.8318000000000003,Infected,10%
77,16.0,4.1251,Infected,10%
78,17.0,4.4914000000000005,Infected,10%
79,18.0,4.916899999999999,Infected,10%
80,19.0,5.4795,Infected,10%
81,20.0,6.2213,Infected,10%
82,21.0,6.489599999999999,Infected,10%
83,22.0,6.4655,Infected,10%
84,23.0,6.562600000000001,Infected,10%
85,24.0,6.8479,Infected,10%
86,25.0,7.210299999999999,Infected,10%
87,26.0,7.624700000000001,Infected,10%
88,27.0,8.2272,Infected,10%
89,28.0,8.273299999999999,Infected,10%
90,29.0,7.7568,Infected,10%
91,30.0,7.6666,Infected,10%
92,31.0,7.766699999999999,Infected,10%
93,32.0,7.9109,Infected,10%
94,33.0,8.2243,Infected,10%
95,34.0,8.522499999999999,Infected,10%
96,35.0,8.3894,Infected,10%
97,36.0,7.466499999999999,Infected,10%
98,37.0,7.3153,Infected,10%
99,38.0,7.3092999999999995,Infected,10%
100,39.0,7.4384999999999994,Infected,10%
101,40.0,7.6637,Infected,10%
102,41.0,7.969,Infected,10%
103,42.0,7.7869,Infected,10%
104,43.0,6.8999,Infected,10%
105,44.0,6.846900000000001,Infected,10%
106,45.0,6.8609,Infected,10%
107,46.0,7.006100000000001,Infected,10%
108,47.0,7.241300000000001,Infected,10%
109,48.0,7.487500000000001,Infected,10%
110,49.0,7.4215,Infected,10%
111,50.0,6.5855999999999995,Infected,10%
112,51.0,6.5245999999999995,Infected,10%
113,52.0,6.532500000000001,Infected,10%
114,53.0,6.7067000000000005,Infected,10%
115,54.0,6.830799999999999,Infected,10%
116,55.0,7.1472,Infected,10%
117,56.0,7.033100000000001,Infected,10%
118,57.0,6.3003,Infected,10%
119,58.0,6.262299999999999,Infected,10%
120,59.0,6.267200000000001,Infected,10%
121,60.0,6.346299999999999,Infected,10%
122,0.0,0.0,Infected,40%
123,1.0,0.0,Infected,40%
124,2.0,0.047,Infected,40%
125,3.0,0.1221,Infected,40%
126,4.0,0.2192,Infected,40%
127,5.0,0.3573,Infected,40%
128,6.0,0.5255,Infected,40%
129,7.0,0.6356,Infected,40%
130,8.0,0.6957,Infected,40%
131,9.0,0.7797,Infected,40%
132,10.0,0.9149,Infected,40%
133,11.0,1.1060999999999999,Infected,40%
134,12.0,1.2913,Infected,40%
135,13.0,1.5205,Infected,40%
136,14.0,1.6536,Infected,40%
137,15.0,1.7016,Infected,40%
138,16.0,1.8229,Infected,40%
139,17.0,1.946,Infected,40%
140,18.0,2.1762,Infected,40%
141,19.0,2.3663,Infected,40%
142,20.0,2.6016,Infected,40%
143,21.0,2.7197,Infected,40%
