,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,0.06099999999997863,Total infected,0%
2,3.0,0.18719999999999004,Total infected,0%
3,4.0,0.4153999999999769,Total infected,0%
4,5.0,0.7068000000000154,Total infected,0%
5,6.0,1.1441000000000088,Total infected,0%
6,7.0,1.5085000000000264,Total infected,0%
7,8.0,1.8207999999999913,Total infected,0%
8,9.0,2.3063000000000216,Total infected,0%
9,10.0,2.9148999999999887,Total infected,0%
10,11.0,3.7058000000000106,Total infected,0%
11,12.0,4.7409000000000106,Total infected,0%
12,13.0,5.921899999999994,Total infected,0%
13,14.0,6.845899999999972,Total infected,0%
14,15.0,7.650700000000029,Total infected,0%
15,16.0,8.534599999999983,Total infected,0%
16,17.0,9.629700000000014,Total infected,0%
17,18.0,10.910899999999998,Total infected,0%
18,19.0,12.427500000000009,Total infected,0%
19,20.0,14.186200000000014,Total infected,0%
20,21.0,15.5796,Total infected,0%
21,22.0,16.62760000000003,Total infected,0%
22,23.0,17.777799999999985,Total infected,0%
23,24.0,19.124000000000024,Total infected,0%
24,25.0,20.64160000000001,Total infected,0%
25,26.0,22.44950000000003,Total infected,0%
26,27.0,24.33140000000003,Total infected,0%
27,28.0,25.829900000000038,Total infected,0%
28,29.0,26.96520000000001,Total infected,0%
29,30.0,28.22829999999999,Total infected,0%
30,31.0,29.63560000000001,Total infected,0%
31,32.0,31.186199999999985,Total infected,0%
32,33.0,32.955900000000014,Total infected,0%
33,34.0,34.935900000000004,Total infected,0%
34,35.0,36.3485,Total infected,0%
35,36.0,37.480500000000035,Total infected,0%
36,37.0,38.61960000000005,Total infected,0%
37,38.0,39.85589999999999,Total infected,0%
38,39.0,41.29320000000001,Total infected,0%
39,40.0,42.879899999999964,Total infected,0%
40,41.0,44.70069999999998,Total infected,0%
41,42.0,46.05199999999999,Total infected,0%
42,43.0,47.03999999999999,Total infected,0%
43,44.0,48.13899999999998,Total infected,0%
44,45.0,49.28019999999995,Total infected,0%
45,46.0,50.54159999999996,Total infected,0%
46,47.0,51.955899999999986,Total infected,0%
47,48.0,53.55459999999999,Total infected,0%
48,49.0,54.74979999999999,Total infected,0%
49,50.0,55.62459999999999,Total infected,0%
50,51.0,56.57260000000002,Total infected,0%
51,52.0,57.606600000000014,Total infected,0%
52,53.0,58.789800000000014,Total infected,0%
53,54.0,60.105200000000025,Total infected,0%
54,55.0,61.5736,Total infected,0%
55,56.0,62.6746,Total infected,0%
56,57.0,63.522399999999976,Total infected,0%
57,58.0,64.43049999999997,Total infected,0%
58,59.0,65.41429999999997,Total infected,0%
59,60.0,66.4916,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.07210000000000605,Total infected,10%
62,3.0,0.19120000000000914,Total infected,10%
63,4.0,0.35130000000000905,Total infected,10%
64,5.0,0.6387,Total infected,10%
65,6.0,1.0079999999999814,Total infected,10%
66,7.0,1.3303999999999974,Total infected,10%
67,8.0,1.573599999999999,Total infected,10%
68,9.0,1.9649000000000285,Total infected,10%
69,10.0,2.4764999999999873,Total infected,10%
70,11.0,3.1581999999999937,Total infected,10%
71,12.0,3.9909999999999854,Total infected,10%
72,13.0,5.017999999999972,Total infected,10%
73,14.0,5.785899999999998,Total infected,10%
74,15.0,6.406499999999994,Total infected,10%
75,16.0,7.199299999999994,Total infected,10%
76,17.0,8.068199999999962,Total infected,10%
77,18.0,9.130099999999999,Total infected,10%
78,19.0,10.328499999999991,Total infected,10%
79,20.0,11.76279999999997,Total infected,10%
80,21.0,12.84179999999995,Total infected,10%
81,22.0,13.71169999999995,Total infected,10%
82,23.0,14.681699999999978,Total infected,10%
83,24.0,15.84790000000001,Total infected,10%
84,25.0,17.147100000000023,Total infected,10%
85,26.0,18.54650000000001,Total infected,10%
86,27.0,20.180199999999985,Total infected,10%
87,28.0,21.336300000000023,Total infected,10%
