day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457105	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	62	0	0	0	0	[]	0	0
1	123457105	225	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	146	62	0	0	0	3	[]	0	0
2	123457105	215	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	146	62	0	0	0	6	[]	0	1
3	123457105	200	23	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	146	62	0	0	0	7	[]	0	2
4	123457105	157	58	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	1	146	62	0	0	0	13	[]	0	4
5	123457105	99	100	26	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	1	2	146	62	0	0	0	15	[]	0	9
6	123457105	98	75	50	5	0	0	0	0	0	0	0	0	0	0	0	0	0	13	3	0	1	3	146	62	0	0	0	16	[]	0	11
7	123457105	98	45	73	12	0	0	0	0	0	0	0	0	0	0	0	0	0	15	4	0	1	4	146	62	0	0	0	16	[]	0	11
8	123457105	26	99	86	17	0	0	0	0	0	0	0	0	0	0	0	0	0	15	7	0	1	7	146	62	0	0	0	19	[]	0	11
9	123457105	6	90	100	32	0	0	0	0	0	0	0	0	0	0	0	0	0	15	7	0	1	7	146	62	0	0	0	19	[]	0	12
10	123457105	4	64	113	47	0	0	0	0	0	0	0	0	0	0	0	0	0	16	11	0	1	11	146	62	0	0	0	19	[]	0	12
11	123457105	3	42	125	58	0	0	0	0	0	0	0	0	0	0	0	0	0	17	14	0	1	14	146	62	0	0	0	19	[]	0	12
12	123457105	3	30	109	86	0	0	0	0	0	0	0	0	0	0	0	0	0	18	17	0	1	17	146	62	0	0	0	19	[]	0	12
13	123457105	3	23	101	101	0	0	0	0	0	0	0	0	0	0	0	0	0	18	23	0	1	23	146	62	0	0	0	19	[]	0	12
