,day,final_infected,type_pretty
60,60,223,0%
121,60,225,0%
182,60,212,0%
243,60,215,0%
304,60,214,0%
365,60,212,0%
426,60,220,0%
487,60,216,0%
548,60,211,0%
609,60,216,0%
670,60,218,0%
731,60,224,0%
792,60,214,0%
853,60,211,0%
914,60,210,0%
975,60,220,0%
1036,60,210,0%
1097,60,221,0%
1158,60,219,0%
1219,60,203,0%
1280,60,221,0%
1341,60,208,0%
1402,60,215,0%
1463,60,218,0%
1524,60,210,0%
1585,60,195,0%
1646,60,209,0%
1707,60,230,0%
1768,60,227,0%
1829,60,203,0%
1890,60,220,0%
1951,60,216,0%
2012,60,227,0%
2073,60,201,0%
2134,60,219,0%
2195,60,228,0%
2256,60,229,0%
2317,60,212,0%
2378,60,216,0%
2439,60,217,0%
2500,60,215,0%
2561,60,213,0%
2622,60,226,0%
2683,60,218,0%
2744,60,211,0%
2805,60,210,0%
2866,60,217,0%
2927,60,211,0%
2988,60,221,0%
3049,60,223,0%
3110,60,206,0%
3171,60,218,0%
3232,60,230,0%
3293,60,197,0%
3354,60,224,0%
3415,60,223,0%
3476,60,216,0%
3537,60,220,0%
3598,60,220,0%
3659,60,216,0%
3720,60,223,0%
3781,60,212,0%
3842,60,216,0%
3903,60,212,0%
3964,60,207,0%
4025,60,210,0%
4086,60,224,0%
4147,60,210,0%
4208,60,228,0%
4269,60,218,0%
4330,60,205,0%
4391,60,195,0%
4452,60,218,0%
4513,60,204,0%
4574,60,220,0%
4635,60,228,0%
4696,60,224,0%
4757,60,213,0%
4818,60,208,0%
4879,60,219,0%
4940,60,219,0%
5001,60,220,0%
5062,60,219,0%
5123,60,219,0%
5184,60,226,0%
5245,60,215,0%
5306,60,218,0%
5367,60,211,0%
5428,60,204,0%
5489,60,220,0%
5550,60,216,0%
5611,60,227,0%
5672,60,208,0%
5733,60,220,0%
5794,60,217,0%
5855,60,222,0%
5916,60,223,0%
5977,60,209,0%
6038,60,212,0%
6099,60,190,0%
6160,60,215,0%
6221,60,217,0%
6282,60,217,0%
6343,60,224,0%
6404,60,219,0%
6465,60,220,0%
6526,60,202,0%
6587,60,216,0%
6648,60,227,0%
6709,60,213,0%
6770,60,220,0%
6831,60,225,0%
6892,60,213,0%
6953,60,222,0%
7014,60,221,0%
7075,60,222,0%
7136,60,205,0%
7197,60,224,0%
7258,60,209,0%
7319,60,213,0%
7380,60,205,0%
7441,60,223,0%
7502,60,217,0%
7563,60,196,0%
7624,60,219,0%
7685,60,207,0%
7746,60,214,0%
7807,60,223,0%
7868,60,202,0%
7929,60,230,0%
7990,60,228,0%
8051,60,198,0%
8112,60,215,0%
8173,60,222,0%
8234,60,221,0%
8295,60,215,0%
8356,60,230,0%
8417,60,214,0%
8478,60,224,0%
8539,60,225,0%
8600,60,220,0%
8661,60,222,0%
8722,60,220,0%
8783,60,217,0%
8844,60,213,0%
8905,60,216,0%
8966,60,211,0%
9027,60,233,0%
9088,60,214,0%
9149,60,222,0%
9210,60,212,0%
9271,60,212,0%
9332,60,211,0%
9393,60,219,0%
9454,60,220,0%
9515,60,225,0%
9576,60,229,0%
9637,60,214,0%
9698,60,227,0%
9759,60,216,0%
9820,60,208,0%
9881,60,221,0%
9942,60,210,0%
10003,60,209,0%
10064,60,210,0%
10125,60,228,0%
10186,60,212,0%
10247,60,208,0%
10308,60,222,0%
10369,60,223,0%
10430,60,218,0%
10491,60,221,0%
10552,60,221,0%
10613,60,215,0%
10674,60,229,0%
10735,60,212,0%
10796,60,207,0%
10857,60,222,0%
10918,60,207,0%
10979,60,210,0%
11040,60,223,0%
11101,60,208,0%
11162,60,214,0%
11223,60,222,0%
11284,60,210,0%
11345,60,211,0%
11406,60,212,0%
11467,60,219,0%
11528,60,214,0%
11589,60,217,0%
11650,60,209,0%
11711,60,219,0%
11772,60,211,0%
11833,60,210,0%
11894,60,227,0%
11955,60,213,0%
12016,60,209,0%
12077,60,199,0%
12138,60,210,0%
12199,60,223,0%
12260,60,221,0%
12321,60,218,0%
12382,60,220,0%
12443,60,208,0%
12504,60,213,0%
12565,60,221,0%
12626,60,209,0%
12687,60,220,0%
12748,60,219,0%
12809,60,220,0%
12870,60,209,0%
12931,60,216,0%
12992,60,224,0%
13053,60,205,0%
13114,60,206,0%
13175,60,213,0%
13236,60,216,0%
13297,60,218,0%
13358,60,205,0%
13419,60,220,0%
13480,60,206,0%
13541,60,211,0%
13602,60,221,0%
13663,60,200,0%
13724,60,209,0%
13785,60,221,0%
13846,60,215,0%
13907,60,216,0%
13968,60,215,0%
14029,60,204,0%
14090,60,218,0%
14151,60,216,0%
14212,60,218,0%
14273,60,217,0%
14334,60,200,0%
14395,60,212,0%
14456,60,213,0%
14517,60,216,0%
14578,60,225,0%
14639,60,228,0%
14700,60,207,0%
14761,60,212,0%
14822,60,219,0%
14883,60,223,0%
14944,60,225,0%
15005,60,224,0%
15066,60,212,0%
15127,60,211,0%
15188,60,213,0%
15249,60,230,0%
15310,60,223,0%
15371,60,201,0%
15432,60,216,0%
15493,60,223,0%
15554,60,220,0%
15615,60,228,0%
15676,60,201,0%
15737,60,200,0%
15798,60,217,0%
15859,60,207,0%
15920,60,211,0%
15981,60,216,0%
16042,60,224,0%
16103,60,200,0%
16164,60,216,0%
16225,60,214,0%
16286,60,213,0%
16347,60,228,0%
16408,60,208,0%
16469,60,222,0%
16530,60,212,0%
16591,60,224,0%
16652,60,219,0%
16713,60,206,0%
16774,60,201,0%
16835,60,205,0%
16896,60,219,0%
16957,60,209,0%
17018,60,225,0%
17079,60,226,0%
17140,60,228,0%
17201,60,208,0%
17262,60,214,0%
17323,60,211,0%
17384,60,214,0%
17445,60,212,0%
17506,60,215,0%
17567,60,227,0%
17628,60,212,0%
17689,60,202,0%
17750,60,220,0%
17811,60,212,0%
17872,60,216,0%
17933,60,212,0%
17994,60,226,0%
18055,60,200,0%
18116,60,216,0%
18177,60,220,0%
18238,60,215,0%
18299,60,194,0%
18360,60,212,0%
18421,60,214,0%
18482,60,205,0%
18543,60,210,0%
