,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,0.058099999999996044,Total infected,0%
2,3.0,0.19839999999999236,Total infected,0%
3,4.0,0.4650000000000034,Total infected,0%
4,5.0,0.913899999999984,Total infected,0%
5,6.0,1.6973999999999876,Total infected,0%
6,7.0,2.2845999999999833,Total infected,0%
7,8.0,2.799599999999998,Total infected,0%
8,9.0,3.661299999999983,Total infected,0%
9,10.0,4.9258000000000095,Total infected,0%
10,11.0,6.7213999999999885,Total infected,0%
11,12.0,8.990000000000009,Total infected,0%
12,13.0,12.011999999999972,Total infected,0%
13,14.0,14.206300000000027,Total infected,0%
14,15.0,15.801600000000008,Total infected,0%
15,16.0,17.777500000000003,Total infected,0%
16,17.0,20.232499999999987,Total infected,0%
17,18.0,23.226499999999987,Total infected,0%
18,19.0,26.89790000000002,Total infected,0%
19,20.0,31.3407,Total infected,0%
20,21.0,34.557199999999995,Total infected,0%
21,22.0,36.93780000000004,Total infected,0%
22,23.0,39.34280000000001,Total infected,0%
23,24.0,42.07220000000004,Total infected,0%
24,25.0,45.39689999999999,Total infected,0%
25,26.0,49.362599999999986,Total infected,0%
26,27.0,53.5993,Total infected,0%
27,28.0,56.53510000000003,Total infected,0%
28,29.0,58.74759999999998,Total infected,0%
29,30.0,61.110300000000024,Total infected,0%
30,31.0,63.74750000000003,Total infected,0%
31,32.0,66.57509999999999,Total infected,0%
32,33.0,69.88579999999999,Total infected,0%
33,34.0,73.49099999999999,Total infected,0%
34,35.0,76.0481,Total infected,0%
35,36.0,77.99189999999996,Total infected,0%
36,37.0,79.95599999999993,Total infected,0%
37,38.0,82.01409999999998,Total infected,0%
38,39.0,84.30059999999997,Total infected,0%
39,40.0,87.0041,Total infected,0%
40,41.0,90.06809999999999,Total infected,0%
41,42.0,92.27460000000002,Total infected,0%
42,43.0,93.83970000000002,Total infected,0%
43,44.0,95.47290000000001,Total infected,0%
44,45.0,97.17850000000001,Total infected,0%
45,46.0,99.20240000000004,Total infected,0%
46,47.0,101.29249999999999,Total infected,0%
47,48.0,103.65930000000003,Total infected,0%
48,49.0,105.39479999999998,Total infected,0%
49,50.0,106.71949999999998,Total infected,0%
50,51.0,108.0161,Total infected,0%
51,52.0,109.34469999999999,Total infected,0%
52,53.0,110.90180000000001,Total infected,0%
53,54.0,112.6193,Total infected,0%
54,55.0,114.62540000000001,Total infected,0%
55,56.0,116.07210000000003,Total infected,0%
56,57.0,117.1984,Total infected,0%
57,58.0,118.3508,Total infected,0%
58,59.0,119.63530000000002,Total infected,0%
59,60.0,121.12429999999999,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.06409999999999627,Total infected,10%
62,3.0,0.18439999999998236,Total infected,10%
63,4.0,0.41490000000001714,Total infected,10%
64,5.0,0.7974999999999852,Total infected,10%
65,6.0,1.4410000000000025,Total infected,10%
66,7.0,1.9599000000000046,Total infected,10%
67,8.0,2.3868000000000222,Total infected,10%
68,9.0,3.0400999999999954,Total infected,10%
69,10.0,4.110100000000017,Total infected,10%
70,11.0,5.583200000000005,Total infected,10%
71,12.0,7.593199999999996,Total infected,10%
72,13.0,10.150400000000019,Total infected,10%
73,14.0,12.024100000000004,Total infected,10%
74,15.0,13.388799999999975,Total infected,10%
75,16.0,15.054199999999952,Total infected,10%
76,17.0,17.056100000000015,Total infected,10%
77,18.0,19.62919999999997,Total infected,10%
78,19.0,22.6113,Total infected,10%
79,20.0,26.050099999999958,Total infected,10%
80,21.0,28.57729999999998,Total infected,10%
81,22.0,30.565300000000008,Total infected,10%
82,23.0,32.53910000000002,Total infected,10%
83,24.0,34.68539999999999,Total infected,10%
84,25.0,37.39490000000001,Total infected,10%
85,26.0,40.571199999999976,Total infected,10%
86,27.0,44.032099999999986,Total infected,10%
87,28.0,46.5291,Total infected,10%
88,29.0,48.38280000000003,Total infected,10%
89,30.0,50.38270000000003,Total infected,10%
90,31.0,52.46890000000002,Total infected,10%
91,32.0,54.90379999999996,Total infected,10%
92,33.0,57.653400000000005,Total infected,10%
93,34.0,60.65729999999999,Total infected,10%
94,35.0,62.94800000000001,Total infected,10%
95,36.0,64.59719999999999,Total infected,10%
96,37.0,66.3287,Total infected,10%
97,38.0,68.19240000000002,Total infected,10%
98,39.0,70.31879999999998,Total infected,10%
99,40.0,72.6695,Total infected,10%
100,41.0,75.18640000000002,Total infected,10%
