day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected	prob-outside-contagion
0	123457142	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0.001	0
1	123457142	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0.001	0
2	123457142	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0.001	0
3	123457142	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0.001	0
4	123457142	143	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0.001	0
5	123457142	142	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0.001	1
6	123457142	142	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0.001	1
7	123457142	142	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0.001	1
8	123457142	139	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	5	0	0	0	0	145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0.001	1
9	123457142	137	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	145	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0.001	2
10	123457142	135	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	144	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0.001	2
11	123457142	135	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	144	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0.001	2
12	123457142	135	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	144	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0.001	1
13	123457142	135	2	4	3	0	0	0	0	0	0	0	0	0	0	0	0	120	8	0	0	0	0	144	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0.001	1
14	123457142	135	2	4	3	0	0	0	0	0	0	0	0	0	0	0	0	120	8	0	0	0	0	144	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0.001	1
15	123457142	132	0	0	0	3	0	5	3	0	0	0	0	0	0	1	0	194	9	1	6	0	1	137	0	0	1	7	0	1	0	0	0	0	0	0	0	0	0	2	[1A]	1	0.001	1
16	123457142	132	0	0	0	3	0	5	3	0	0	0	0	0	0	1	0	194	9	1	6	0	1	137	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	2	[1A]	1	0.001	1
17	123457142	130	2	0	0	3	0	5	3	0	0	0	0	0	0	1	0	194	9	1	6	0	1	137	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	4	[1A]	1	0.001	1
18	123457142	130	2	0	0	3	0	5	3	0	0	0	0	0	0	1	0	194	9	1	6	0	1	137	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	4	[1A]	1	0.001	1
19	123457142	130	2	0	0	3	0	4	4	0	0	0	0	0	0	1	0	194	12	1	6	0	1	137	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	4	[1A]	1	0.001	1
20	123457142	129	2	1	0	3	0	3	5	0	0	0	0	0	0	1	0	194	12	1	6	0	1	137	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	5	[1A]	1	0.001	2
21	123457142	129	1	2	0	3	0	2	6	0	0	0	0	0	0	0	1	194	12	1	6	0	1	137	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	5	[1A]	1	0.001	3
22	123457142	129	1	0	1	3	0	1	8	0	0	0	0	0	0	0	1	268	12	1	7	0	1	137	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	5	[1A]	1	0.001	1
23	123457142	128	2	0	1	3	0	1	8	0	0	0	0	0	0	0	1	268	13	1	7	0	1	137	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	6	[1A]	1	0.001	1
24	123457142	128	2	0	1	3	0	0	9	0	0	0	0	0	0	0	1	268	14	1	7	0	1	137	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	6	[1A]	1	0.001	0
25	123457142	127	3	0	1	3	0	0	9	0	0	0	0	0	0	0	1	268	15	1	7	0	1	137	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	7	[1A]	1	0.001	0
26	123457142	127	2	1	1	3	0	0	9	0	0	0	0	0	0	0	1	268	15	1	7	0	1	136	1	0	1	7	0	0	1	0	0	0	0	0	0	0	0	7	[1A]	1	0.001	1
27	123457142	127	0	3	1	3	0	0	9	0	0	0	0	0	0	0	1	287	15	1	7	0	1	136	1	0	1	7	0	0	1	0	0	0	0	0	0	0	0	7	[1A]	1	0.001	3
28	123457142	127	0	1	3	3	0	0	9	0	0	0	0	0	0	0	1	287	15	1	7	0	1	136	1	0	1	7	0	0	1	0	0	0	0	0	0	0	0	7	[1A]	1	0.001	1
29	123457142	119	0	0	12	11	0	1	1	0	0	0	0	0	0	0	0	346	17	1	9	0	1	136	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	7	[1B]	1	0.001	1
30	123457142	119	0	0	12	11	0	1	1	0	0	0	0	0	0	0	0	346	17	1	9	0	1	136	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	7	[1B]	1	0.001	1
31	123457142	119	0	0	12	11	0	1	1	0	0	0	0	0	0	0	0	346	18	1	9	0	1	136	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	7	[1B]	1	0.001	1
32	123457142	119	0	0	12	11	0	1	1	0	0	0	0	0	0	0	0	346	18	1	9	0	1	136	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	7	[1B]	1	0.001	1
33	123457142	119	0	0	12	11	0	1	1	0	0	0	0	0	0	0	0	346	18	1	9	0	1	136	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	7	[1B]	1	0.001	1
34	123457142	119	0	0	12	11	0	1	1	0	0	0	0	0	0	0	0	346	18	1	9	0	1	136	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	7	[1B]	1	0.001	1
35	123457142	119	0	0	12	11	0	1	1	0	0	0	0	0	0	0	0	346	18	1	9	0	1	136	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	7	[1B]	1	0.001	1
36	123457142	119	0	0	13	11	0	1	0	0	0	0	0	0	0	0	0	401	19	1	9	0	1	136	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	7	[1B]	1	0.001	1
37	123457142	119	0	0	13	11	0	1	0	0	0	0	0	0	0	0	0	401	19	1	9	0	1	136	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	7	[1B]	1	0.001	1
38	123457142	119	0	0	13	11	0	1	0	0	0	0	0	0	0	0	0	401	20	1	9	0	1	136	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	7	[1B]	1	0.001	1
39	123457142	119	0	0	13	11	0	1	0	0	0	0	0	0	0	0	0	401	22	1	9	0	1	136	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	7	[1B]	1	0.001	1
40	123457142	119	0	0	13	11	0	0	1	0	0	0	0	0	0	0	0	401	23	1	9	0	1	136	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	7	[1B]	1	0.001	1
41	123457142	119	0	0	13	11	0	0	1	0	0	0	0	0	0	0	0	401	23	1	9	0	1	136	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	7	[1B]	1	0.001	1
42	123457142	119	0	0	13	11	0	0	1	0	0	0	0	0	0	0	0	401	23	1	9	0	1	136	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	7	[1B]	1	0.001	1
43	123457142	130	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	461	25	1	9	0	1	143	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	0.001	0
44	123457142	130	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	461	26	1	9	0	1	143	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	0.001	0
45	123457142	130	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	461	27	1	9	0	1	143	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	0.001	0
46	123457142	130	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	461	27	1	9	0	1	143	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	0.001	0
47	123457142	129	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	461	27	1	9	0	1	143	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8	[]	0	0.001	0
48	123457142	128	2	0	14	0	0	0	0	0	0	0	0	0	0	0	0	461	27	1	9	0	1	143	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	0.001	0
49	123457142	128	2	0	14	0	0	0	0	0	0	0	0	0	0	0	0	461	28	1	9	0	1	143	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	0.001	0
50	123457142	128	2	0	14	0	0	0	0	0	0	0	0	0	0	0	0	521	29	1	9	0	1	143	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	0.001	0
51	123457142	128	1	0	14	0	0	0	0	0	0	1	0	0	0	0	0	540	30	1	9	1	1	143	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	0.001	1
52	123457142	128	1	0	14	0	0	0	0	0	0	1	0	0	0	0	0	540	31	1	9	1	1	143	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	0.001	1
53	123457142	128	1	0	14	0	0	0	0	0	0	1	0	0	0	0	0	540	31	1	9	1	1	143	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	0.001	1
54	123457142	128	1	0	14	0	0	0	0	0	0	1	0	0	0	0	0	540	31	1	9	1	1	143	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	0.001	1
55	123457142	128	1	0	14	0	0	0	0	0	0	1	0	0	0	0	0	540	31	1	9	1	1	143	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	0.001	1
56	123457142	128	1	0	14	0	0	0	0	0	0	1	0	0	0	0	0	559	32	1	9	1	1	143	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	0.001	1
57	123457142	127	1	1	14	0	0	0	0	0	0	0	1	0	0	0	0	619	32	1	9	1	1	142	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	10	[]	0	0.001	1
58	123457142	127	1	1	14	0	0	0	0	0	0	0	1	0	0	0	0	619	34	1	9	1	1	142	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	10	[]	0	0.001	1
59	123457142	127	1	0	15	0	0	0	0	0	0	0	1	0	0	0	0	619	34	1	9	1	1	142	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	10	[]	0	0.001	0
60	123457142	127	1	0	15	0	0	0	0	0	0	0	1	0	0	0	0	619	38	1	9	1	1	142	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	10	[]	0	0.001	0
