,day,final_infected,type_pretty
60,60,258,0%
121,60,272,0%
182,60,218,0%
243,60,249,0%
304,60,195,0%
365,60,233,0%
426,60,245,0%
487,60,262,0%
548,60,211,0%
609,60,185,0%
670,60,210,0%
731,60,248,0%
792,60,255,0%
853,60,242,0%
914,60,245,0%
975,60,223,0%
1036,60,217,0%
1097,60,180,0%
1158,60,250,0%
1219,60,240,0%
1280,60,250,0%
1341,60,224,0%
1402,60,222,0%
1463,60,266,0%
1524,60,240,0%
1585,60,249,0%
1646,60,244,0%
1707,60,243,0%
1768,60,258,0%
1829,60,256,0%
1890,60,261,0%
1951,60,270,0%
2012,60,271,0%
2073,60,231,0%
2134,60,247,0%
2195,60,246,0%
2256,60,264,0%
2317,60,256,0%
2378,60,220,0%
2439,60,241,0%
2500,60,247,0%
2561,60,220,0%
2622,60,231,0%
2683,60,267,0%
2744,60,222,0%
2805,60,262,0%
2866,60,231,0%
2927,60,266,0%
2988,60,258,0%
3049,60,205,0%
3110,60,250,0%
3171,60,244,0%
3232,60,220,0%
3293,60,255,0%
3354,60,252,0%
3415,60,249,0%
3476,60,256,0%
3537,60,247,0%
3598,60,243,0%
3659,60,242,0%
3720,60,170,0%
3781,60,246,0%
3842,60,243,0%
3903,60,228,0%
3964,60,232,0%
4025,60,232,0%
4086,60,242,0%
4147,60,244,0%
4208,60,231,0%
4269,60,256,0%
4330,60,234,0%
4391,60,205,0%
4452,60,217,0%
4513,60,254,0%
4574,60,229,0%
4635,60,226,0%
4696,60,264,0%
4757,60,266,0%
4818,60,253,0%
4879,60,248,0%
4940,60,258,0%
5001,60,256,0%
5062,60,247,0%
5123,60,254,0%
5184,60,260,0%
5245,60,266,0%
5306,60,272,0%
5367,60,267,0%
5428,60,242,0%
5489,60,274,0%
5550,60,250,0%
5611,60,248,0%
5672,60,255,0%
5733,60,229,0%
5794,60,256,0%
5855,60,243,0%
5916,60,216,0%
5977,60,197,0%
6038,60,263,0%
6099,60,179,0%
6160,60,235,0%
6221,60,267,0%
6282,60,245,0%
6343,60,242,0%
6404,60,251,0%
6465,60,254,0%
6526,60,260,0%
6587,60,238,0%
6648,60,244,0%
6709,60,255,0%
6770,60,250,0%
6831,60,241,0%
6892,60,263,0%
6953,60,255,0%
7014,60,258,0%
7075,60,250,0%
7136,60,223,0%
7197,60,224,0%
7258,60,227,0%
7319,60,224,0%
7380,60,264,0%
7441,60,240,0%
7502,60,228,0%
7563,60,140,0%
7624,60,251,0%
7685,60,199,0%
7746,60,243,0%
7807,60,114,0%
7868,60,235,0%
7929,60,246,0%
7990,60,253,0%
8051,60,230,0%
8112,60,250,0%
8173,60,229,0%
8234,60,250,0%
8295,60,271,0%
8356,60,224,0%
8417,60,253,0%
8478,60,216,0%
8539,60,257,0%
8600,60,254,0%
8661,60,246,0%
8722,60,241,0%
8783,60,252,0%
8844,60,258,0%
8905,60,254,0%
8966,60,262,0%
9027,60,239,0%
9088,60,230,0%
9149,60,254,0%
9210,60,241,0%
9271,60,245,0%
9332,60,267,0%
9393,60,250,0%
9454,60,98,0%
9515,60,265,0%
9576,60,232,0%
9637,60,263,0%
9698,60,228,0%
9759,60,250,0%
9820,60,239,0%
9881,60,264,0%
9942,60,246,0%
10003,60,256,0%
10064,60,230,0%
10125,60,266,0%
10186,60,271,0%
10247,60,255,0%
10308,60,193,0%
10369,60,229,0%
10430,60,258,0%
10491,60,265,0%
10552,60,261,0%
10613,60,256,0%
10674,60,262,0%
10735,60,239,0%
10796,60,254,0%
10857,60,250,0%
10918,60,244,0%
10979,60,233,0%
11040,60,231,0%
11101,60,261,0%
11162,60,266,0%
11223,60,253,0%
11284,60,227,0%
11345,60,248,0%
11406,60,247,0%
11467,60,248,0%
11528,60,249,0%
11589,60,265,0%
11650,60,263,0%
11711,60,249,0%
11772,60,247,0%
11833,60,231,0%
11894,60,254,0%
11955,60,233,0%
12016,60,238,0%
12077,60,196,0%
12138,60,241,0%
12199,60,251,0%
12260,60,268,0%
12321,60,265,0%
12382,60,229,0%
12443,60,260,0%
12504,60,243,0%
12565,60,245,0%
12626,60,262,0%
12687,60,254,0%
12748,60,246,0%
12809,60,258,0%
12870,60,160,0%
12931,60,242,0%
12992,60,257,0%
13053,60,228,0%
13114,60,254,0%
13175,60,252,0%
13236,60,252,0%
13297,60,256,0%
13358,60,267,0%
13419,60,232,0%
13480,60,262,0%
13541,60,261,0%
13602,60,276,0%
13663,60,257,0%
13724,60,249,0%
13785,60,242,0%
13846,60,201,0%
13907,60,233,0%
13968,60,210,0%
14029,60,241,0%
14090,60,247,0%
14151,60,233,0%
14212,60,259,0%
14273,60,262,0%
14334,60,250,0%
14395,60,233,0%
14456,60,250,0%
14517,60,229,0%
14578,60,243,0%
14639,60,215,0%
14700,60,253,0%
14761,60,258,0%
14822,60,219,0%
14883,60,266,0%
14944,60,196,0%
15005,60,246,0%
15066,60,219,0%
15127,60,252,0%
15188,60,228,0%
15249,60,265,0%
15310,60,262,0%
15371,60,225,0%
15432,60,255,0%
15493,60,272,0%
15554,60,224,0%
15615,60,257,0%
15676,60,236,0%
15737,60,258,0%
15798,60,266,0%
15859,60,201,0%
15920,60,257,0%
15981,60,255,0%
16042,60,227,0%
16103,60,256,0%
16164,60,250,0%
16225,60,243,0%
16286,60,235,0%
16347,60,245,0%
16408,60,248,0%
16469,60,232,0%
16530,60,235,0%
16591,60,247,0%
16652,60,259,0%
16713,60,207,0%
16774,60,242,0%
16835,60,244,0%
16896,60,250,0%
16957,60,238,0%
17018,60,203,0%
17079,60,267,0%
17140,60,256,0%
17201,60,207,0%
17262,60,263,0%
17323,60,236,0%
17384,60,228,0%
17445,60,249,0%
17506,60,262,0%
17567,60,270,0%
17628,60,261,0%
17689,60,263,0%
17750,60,253,0%
17811,60,221,0%
17872,60,255,0%
17933,60,178,0%
17994,60,230,0%
18055,60,251,0%
18116,60,254,0%
18177,60,248,0%
18238,60,264,0%
18299,60,263,0%
18360,60,233,0%
18421,60,234,0%
18482,60,244,0%
18543,60,259,0%
18604,60,236,0%
18665,60,269,0%
18726,60,263,0%
18787,60,258,0%
18848,60,248,0%
18909,60,229,0%
18970,60,265,0%
19031,60,200,0%
19092,60,219,0%
19153,60,229,0%
19214,60,257,0%
19275,60,243,0%
19336,60,246,0%
19397,60,262,0%
19458,60,265,0%
19519,60,252,0%
19580,60,267,0%
19641,60,256,0%
19702,60,259,0%
19763,60,208,0%
19824,60,242,0%
19885,60,219,0%
19946,60,260,0%
20007,60,235,0%
20068,60,270,0%
20129,60,243,0%
20190,60,229,0%
20251,60,238,0%
20312,60,237,0%
20373,60,255,0%
20434,60,255,0%
20495,60,249,0%
20556,60,267,0%
20617,60,232,0%
20678,60,235,0%
20739,60,250,0%
20800,60,210,0%
20861,60,236,0%
20922,60,260,0%
20983,60,260,0%
21044,60,249,0%
21105,60,249,0%
21166,60,257,0%
21227,60,228,0%
21288,60,208,0%
21349,60,261,0%
21410,60,264,0%
21471,60,256,0%
21532,60,233,0%
21593,60,262,0%
21654,60,261,0%
21715,60,253,0%
21776,60,244,0%
21837,60,266,0%
21898,60,254,0%
21959,60,243,0%
22020,60,237,0%
22081,60,258,0%
22142,60,266,0%
22203,60,255,0%
22264,60,247,0%
22325,60,256,0%
22386,60,206,0%
22447,60,257,0%
22508,60,241,0%
22569,60,263,0%
22630,60,267,0%
22691,60,237,0%
22752,60,240,0%
22813,60,220,0%
22874,60,240,0%
22935,60,208,0%
22996,60,237,0%
23057,60,262,0%
23118,60,254,0%
23179,60,252,0%
23240,60,261,0%
23301,60,236,0%
23362,60,242,0%
23423,60,263,0%
23484,60,258,0%
23545,60,211,0%
23606,60,231,0%
23667,60,253,0%
23728,60,249,0%
23789,60,260,0%
23850,60,262,0%
23911,60,212,0%
23972,60,244,0%
24033,60,180,0%
24094,60,246,0%
24155,60,257,0%
24216,60,265,0%
24277,60,267,0%
24338,60,198,0%
24399,60,255,0%
24460,60,259,0%
24521,60,244,0%
24582,60,256,0%
24643,60,267,0%
24704,60,260,0%
24765,60,237,0%
24826,60,233,0%
24887,60,253,0%
24948,60,260,0%
25009,60,274,0%
25070,60,255,0%
25131,60,250,0%
25192,60,231,0%
25253,60,227,0%
25314,60,216,0%
25375,60,228,0%
25436,60,254,0%
25497,60,255,0%
25558,60,251,0%
25619,60,265,0%
25680,60,250,0%
25741,60,268,0%
25802,60,263,0%
25863,60,258,0%
25924,60,248,0%
25985,60,259,0%
26046,60,253,0%
26107,60,206,0%
26168,60,262,0%
26229,60,261,0%
26290,60,227,0%
26351,60,247,0%
26412,60,192,0%
26473,60,252,0%
26534,60,249,0%
26595,60,228,0%
26656,60,142,0%
26717,60,273,0%
26778,60,245,0%
26839,60,268,0%
26900,60,270,0%
26961,60,250,0%
27022,60,251,0%
27083,60,229,0%
27144,60,220,0%
27205,60,264,0%
27266,60,237,0%
27327,60,242,0%
27388,60,230,0%
27449,60,270,0%
27510,60,255,0%
27571,60,246,0%
27632,60,241,0%
27693,60,266,0%
27754,60,249,0%
27815,60,251,0%
27876,60,259,0%
27937,60,248,0%
27998,60,268,0%
28059,60,260,0%
28120,60,248,0%
28181,60,238,0%
28242,60,263,0%
28303,60,204,0%
28364,60,246,0%
28425,60,246,0%
28486,60,228,0%
28547,60,222,0%
28608,60,251,0%
28669,60,253,0%
28730,60,220,0%
28791,60,256,0%
28852,60,261,0%
28913,60,246,0%
28974,60,256,0%
29035,60,245,0%
29096,60,214,0%
29157,60,260,0%
29218,60,259,0%
29279,60,253,0%
29340,60,235,0%
29401,60,230,0%
29462,60,202,0%
29523,60,240,0%
29584,60,257,0%
29645,60,203,0%
29706,60,246,0%
29767,60,266,0%
29828,60,228,0%
29889,60,217,0%
29950,60,222,0%
30011,60,254,0%
30072,60,225,0%
30133,60,269,0%
30194,60,227,0%
30255,60,256,0%
30316,60,243,0%
30377,60,217,0%
30438,60,267,0%
30499,60,212,0%
30560,60,252,10%
30621,60,254,10%
30682,60,238,10%
30743,60,257,10%
30804,60,229,10%
30865,60,267,10%
30926,60,222,10%
30987,60,250,10%
31048,60,261,10%
31109,60,245,10%
31170,60,187,10%
31231,60,205,10%
31292,60,239,10%
31353,60,218,10%
31414,60,256,10%
31475,60,221,10%
31536,60,208,10%
31597,60,252,10%
31658,60,231,10%
31719,60,240,10%
31780,60,239,10%
31841,60,249,10%
31902,60,252,10%
31963,60,257,10%
32024,60,238,10%
32085,60,233,10%
32146,60,257,10%
32207,60,202,10%
32268,60,249,10%
32329,60,227,10%
32390,60,217,10%
32451,60,244,10%
32512,60,225,10%
32573,60,208,10%
32634,60,259,10%
32695,60,260,10%
32756,60,239,10%
32817,60,239,10%
32878,60,205,10%
32939,60,225,10%
33000,60,238,10%
33061,60,240,10%
33122,60,242,10%
33183,60,256,10%
33244,60,238,10%
33305,60,223,10%
33366,60,210,10%
33427,60,231,10%
33488,60,255,10%
33549,60,222,10%
33610,60,159,10%
33671,60,223,10%
33732,60,236,10%
33793,60,248,10%
33854,60,251,10%
33915,60,243,10%
33976,60,262,10%
34037,60,213,10%
34098,60,114,10%
34159,60,258,10%
34220,60,199,10%
34281,60,230,10%
34342,60,225,10%
34403,60,240,10%
34464,60,253,10%
34525,60,262,10%
34586,60,237,10%
34647,60,180,10%
34708,60,235,10%
34769,60,237,10%
34830,60,241,10%
34891,60,145,10%
34952,60,254,10%
35013,60,221,10%
35074,60,248,10%
35135,60,250,10%
35196,60,222,10%
35257,60,216,10%
35318,60,223,10%
35379,60,246,10%
35440,60,255,10%
35501,60,221,10%
35562,60,252,10%
35623,60,223,10%
35684,60,215,10%
35745,60,261,10%
35806,60,241,10%
35867,60,252,10%
35928,60,250,10%
35989,60,252,10%
36050,60,234,10%
36111,60,229,10%
36172,60,214,10%
36233,60,206,10%
36294,60,219,10%
36355,60,266,10%
36416,60,208,10%
36477,60,213,10%
36538,60,235,10%
36599,60,237,10%
36660,60,251,10%
36721,60,240,10%
36782,60,223,10%
36843,60,240,10%
36904,60,191,10%
36965,60,247,10%
37026,60,218,10%
37087,60,240,10%
37148,60,225,10%
37209,60,220,10%
37270,60,251,10%
37331,60,261,10%
37392,60,253,10%
37453,60,239,10%
37514,60,219,10%
37575,60,256,10%
37636,60,233,10%
37697,60,230,10%
37758,60,261,10%
37819,60,266,10%
37880,60,206,10%
37941,60,206,10%
38002,60,245,10%
38063,60,235,10%
38124,60,249,10%
38185,60,241,10%
38246,60,199,10%
38307,60,243,10%
38368,60,235,10%
38429,60,261,10%
38490,60,243,10%
38551,60,261,10%
38612,60,231,10%
38673,60,242,10%
38734,60,264,10%
38795,60,242,10%
38856,60,244,10%
38917,60,189,10%
38978,60,234,10%
39039,60,231,10%
39100,60,223,10%
39161,60,251,10%
39222,60,224,10%
39283,60,233,10%
39344,60,250,10%
39405,60,216,10%
39466,60,243,10%
39527,60,211,10%
39588,60,209,10%
39649,60,257,10%
39710,60,226,10%
39771,60,256,10%
39832,60,231,10%
39893,60,249,10%
39954,60,245,10%
40015,60,244,10%
40076,60,209,10%
40137,60,135,10%
40198,60,226,10%
40259,60,223,10%
40320,60,238,10%
40381,60,261,10%
40442,60,206,10%
40503,60,210,10%
40564,60,237,10%
40625,60,221,10%
40686,60,195,10%
40747,60,242,10%
40808,60,237,10%
40869,60,257,10%
40930,60,91,10%
40991,60,257,10%
41052,60,171,10%
41113,60,210,10%
41174,60,259,10%
41235,60,257,10%
41296,60,267,10%
41357,60,238,10%
41418,60,247,10%
41479,60,219,10%
41540,60,248,10%
41601,60,242,10%
41662,60,207,10%
41723,60,253,10%
41784,60,238,10%
41845,60,153,10%
41906,60,229,10%
41967,60,229,10%
42028,60,261,10%
42089,60,259,10%
42150,60,234,10%
