,day,slope,type,type_pretty
0,0.0,3.2445000000000164,Total infected derivative,0%
1,1.0,7.282499999999999,Total infected derivative,0%
2,2.0,17.21344999999998,Total infected derivative,0%
3,3.0,27.317749999999975,Total infected derivative,0%
4,4.0,32.663400000000024,Total infected derivative,0%
5,5.0,29.63720000000002,Total infected derivative,0%
6,6.0,21.850549999999984,Total infected derivative,0%
7,7.0,17.1032,Total infected derivative,0%
8,8.0,14.718500000000006,Total infected derivative,0%
9,9.0,12.290599999999998,Total infected derivative,0%
10,10.0,9.84975,Total infected derivative,0%
11,11.0,7.698350000000005,Total infected derivative,0%
12,12.0,5.861649999999997,Total infected derivative,0%
13,13.0,4.1263000000000005,Total infected derivative,0%
14,14.0,2.7755499999999955,Total infected derivative,0%
15,15.0,1.9649500000000018,Total infected derivative,0%
16,16.0,1.4459000000000088,Total infected derivative,0%
17,17.0,1.149249999999995,Total infected derivative,0%
18,18.0,1.2754999999999939,Total infected derivative,0%
19,19.0,1.3046500000000094,Total infected derivative,0%
20,20.0,1.0662000000000091,Total infected derivative,0%
21,21.0,1.2073999999999927,Total infected derivative,0%
22,22.0,1.5611499999999978,Total infected derivative,0%
23,23.0,1.663349999999994,Total infected derivative,0%
24,24.0,1.7194499999999948,Total infected derivative,0%
25,25.0,1.7104500000000087,Total infected derivative,0%
26,26.0,1.4688500000000033,Total infected derivative,0%
27,27.0,1.128150000000005,Total infected derivative,0%
28,28.0,0.9669499999999971,Total infected derivative,0%
29,29.0,0.9088999999999885,Total infected derivative,0%
30,30.0,0.8588000000000022,Total infected derivative,0%
31,31.0,0.7785500000000098,Total infected derivative,0%
32,32.0,0.733399999999989,Total infected derivative,0%
33,33.0,0.6412499999999994,Total infected derivative,0%
34,34.0,0.477950000000007,Total infected derivative,0%
35,35.0,0.40184999999999604,Total infected derivative,0%
36,36.0,0.34269999999999357,Total infected derivative,0%
37,37.0,0.3216500000000053,Total infected derivative,0%
38,38.0,0.2986000000000075,Total infected derivative,0%
39,39.0,0.25950000000000273,Total infected derivative,0%
40,40.0,0.22544999999999504,Total infected derivative,0%
41,41.0,0.17634999999998513,Total infected derivative,0%
42,42.0,0.15430000000000632,Total infected derivative,0%
43,43.0,0.1413000000000011,Total infected derivative,0%
44,44.0,0.12425000000000352,Total infected derivative,0%
45,45.0,0.11420000000001096,Total infected derivative,0%
46,46.0,0.10719999999999175,Total infected derivative,0%
47,47.0,0.09219999999999118,Total infected derivative,0%
48,48.0,0.07314999999999827,Total infected derivative,0%
49,49.0,0.06714999999999804,Total infected derivative,0%
50,50.0,0.07115000000000293,Total infected derivative,0%
51,51.0,0.0700999999999965,Total infected derivative,0%
52,52.0,0.05510000000001014,Total infected derivative,0%
53,53.0,0.05215000000001169,Total infected derivative,0%
54,54.0,0.05009999999998627,Total infected derivative,0%
55,55.0,0.04904999999999404,Total infected derivative,0%
56,56.0,0.04005000000000791,Total infected derivative,0%
57,57.0,0.027100000000004343,Total infected derivative,0%
58,58.0,0.03309999999999036,Total infected derivative,0%
59,59.0,0.03799999999998249,Total infected derivative,0%
60,60.0,,Total infected derivative,0%
61,0.0,2.9098000000000184,Total infected derivative,10%
62,1.0,6.34869999999998,Total infected derivative,10%
63,2.0,14.595199999999977,Total infected derivative,10%
64,3.0,23.233500000000006,Total infected derivative,10%
65,4.0,28.473950000000002,Total infected derivative,10%
66,5.0,25.897750000000016,Total infected derivative,10%
67,6.0,19.01300000000002,Total infected derivative,10%
68,7.0,15.343800000000002,Total infected derivative,10%
69,8.0,13.796699999999987,Total infected derivative,10%
70,9.0,12.019950000000009,Total infected derivative,10%
71,10.0,9.98990000000002,Total infected derivative,10%
72,11.0,8.055099999999982,Total infected derivative,10%
73,12.0,6.09314999999998,Total infected derivative,10%
74,13.0,4.202449999999999,Total infected derivative,10%
75,14.0,2.9348500000000115,Total infected derivative,10%
76,15.0,2.139250000000004,Total infected derivative,10%
77,16.0,1.5071499999999958,Total infected derivative,10%
78,17.0,1.1443000000000154,Total infected derivative,10%
79,18.0,1.0940499999999815,Total infected derivative,10%
80,19.0,1.043999999999997,Total infected derivative,10%
81,20.0,0.8678500000000184,Total infected derivative,10%
82,21.0,0.9309999999999974,Total infected derivative,10%
83,22.0,1.1933499999999952,Total infected derivative,10%
84,23.0,1.3537000000000035,Total infected derivative,10%
85,24.0,1.4148000000000138,Total infected derivative,10%
86,25.0,1.3636999999999944,Total infected derivative,10%
87,26.0,1.165399999999977,Total infected derivative,10%
88,27.0,0.9398499999999927,Total infected derivative,10%
89,28.0,0.8516500000000065,Total infected derivative,10%
90,29.0,0.8056000000000125,Total infected derivative,10%
91,30.0,0.7294500000000141,Total infected derivative,10%
92,31.0,0.6693499999999943,Total infected derivative,10%
93,32.0,0.5951999999999913,Total infected derivative,10%
94,33.0,0.4899499999999932,Total infected derivative,10%
95,34.0,0.4087999999999994,Total infected derivative,10%
96,35.0,0.3526999999999987,Total infected derivative,10%
97,36.0,0.2916500000000042,Total infected derivative,10%
98,37.0,0.27454999999999075,Total infected derivative,10%
99,38.0,0.26454999999998563,Total infected derivative,10%
100,39.0,0.25355000000001837,Total infected derivative,10%
101,40.0,0.21040000000002124,Total infected derivative,10%
102,41.0,0.16639999999998167,Total infected derivative,10%
103,42.0,0.16629999999999256,Total infected derivative,10%
104,43.0,0.163250000000005,Total infected derivative,10%
105,44.0,0.13625000000000398,Total infected derivative,10%
106,45.0,0.11425000000001262,Total infected derivative,10%
107,46.0,0.12119999999998754,Total infected derivative,10%
108,47.0,0.11720000000001107,Total infected derivative,10%
109,48.0,0.0852000000000146,Total infected derivative,10%
110,49.0,0.05914999999998827,Total infected derivative,10%
111,50.0,0.07414999999998884,Total infected derivative,10%
112,51.0,0.09215000000000373,Total infected derivative,10%
113,52.0,0.07514999999999361,Total infected derivative,10%
114,53.0,0.05910000000000082,Total infected derivative,10%
115,54.0,0.06010000000000559,Total infected derivative,10%
116,55.0,0.05709999999999127,Total infected derivative,10%
117,56.0,0.04914999999999736,Total infected derivative,10%
118,57.0,0.032099999999999795,Total infected derivative,10%
119,58.0,0.023050000000012005,Total infected derivative,10%
120,59.0,0.02610000000001378,Total infected derivative,10%
121,60.0,,Total infected derivative,10%
122,0.0,1.8596999999999753,Total infected derivative,40%
123,1.0,3.5752000000000237,Total infected derivative,40%
124,2.0,7.60420000000002,Total infected derivative,40%
125,3.0,12.068099999999959,Total infected derivative,40%
126,4.0,15.598299999999995,Total infected derivative,40%
127,5.0,14.828600000000023,Total infected derivative,40%
128,6.0,11.268449999999987,Total infected derivative,40%
129,7.0,10.131299999999996,Total infected derivative,40%
130,8.0,10.330700000000022,Total infected derivative,40%
131,9.0,9.79065,Total infected derivative,40%
132,10.0,8.866749999999996,Total infected derivative,40%
133,11.0,7.62115,Total infected derivative,40%
134,12.0,5.820599999999985,Total infected derivative,40%
135,13.0,4.143350000000012,Total infected derivative,40%
136,14.0,3.168300000000002,Total infected derivative,40%
137,15.0,2.6141999999999683,Total infected derivative,40%
138,16.0,2.097200000000001,Total infected derivative,40%
139,17.0,1.623250000000013,Total infected derivative,40%
140,18.0,1.2735500000000144,Total infected derivative,40%
141,19.0,0.9930500000000109,Total infected derivative,40%
142,20.0,0.7494999999999976,Total infected derivative,40%
143,21.0,0.6082000000000107,Total infected derivative,40%
144,22.0,0.560149999999993,Total infected derivative,40%
145,23.0,0.547949999999986,Total infected derivative,40%
146,24.0,0.5399500000000046,Total infected derivative,40%
147,25.0,0.526149999999987,Total infected derivative,40%
148,26.0,0.46504999999999086,Total infected derivative,40%
149,27.0,0.4038499999999914,Total infected derivative,40%
150,28.0,0.36880000000000734,Total infected derivative,40%
